statement;score
Nie ma żadnego usprawiedliwienia dla aborcji. To okrutne zabójstwo niewinnej istoty.;-1
Każde życie zaczyna się od poczęcia i każda aborcja to morderstwo, niezależnie od okoliczności – nikt nie ma prawa odbierać życia niewinnemu dziecku.;-1
Zabijanie dzieci tylko dlatego, że nie pasują do planów życiowych, to okrucieństwo.;-1
Aborcja jest moralnie niewłaściwa w każdym przypadku.;-1
Aborcja powinna być zabroniona, a kobiety, które zdecydują się na jej przeprowadzenie, powinny być karane.;-1
Aborcja powinna być zakazana, a kobiety, które ją przeprowadzą, powinny być ukarane.;-1
Aborcja powinna być zakazana, ponieważ życie jest wartością nadrzędną.;-1
Aborcja w każdym przypadku to zło, które powinno być zakazane przez prawo.;-1
Jestem pro-life;-1
Mówimy o prawach człowieka, ale zapominamy o tych, którzy nie mogą się obronić – nienarodzonych dzieciach. Aborcja to przemoc w najczystszej postaci i powinna być traktowana jak każda inna forma zabijania.;-1
Dziecko to nie błąd ani kara, ale dar, który zasługuje na życie. Jeśli ktoś nie czuje się gotowy na bycie rodzicem, powinien przemyśleć swoje decyzje, zanim odbierze komuś życie.;-1
Aborcja to największe ludobójstwo w historii świata – miliony nienarodzonych dzieci zabijanych każdego roku.;-1
Każde życie jest ważne i trzeba je chronić od samego początku.;-1
Każda aborcja to morderstwo, bez względu na okoliczności. Nie ma wyjątków, nie ma dyskusji. Nie można legalizować zabijania.;-1
Aborcja powinna być karana jak morderstwo – to odebranie życia niewinnej osobie.;-1
Kobieta, która dokonuje aborcji, powinna iść do więzienia za zabójstwo.;-1
Aborcja to ludobójstwo na bezbronnych. Powinniśmy chronić życie od poczęcia do naturalnej śmierci.;-0.9
Aborcja to jedna z największych tragedii współczesnego świata – społeczeństwo powinno wspierać kobiety, by nigdy nie musiały podejmować tak strasznej decyzji.;-0.9
Aborcja nie powinna być legalna, ponieważ życie zaczyna się od poczęcia.;-0.9
Aborcja powinna być zabroniona w przypadku zdrowych płodów, bez względu na sytuację życiową matki.;-0.9
Każdy człowiek kiedyś był płodem, więc gdy popieramy aborcję, zgadzamy się na to, że mogliśmy sami zostać zabici. To przerażające, jak łatwo niektórzy ludzie usprawiedliwiają odbieranie życia innym.;-0.9
Nie rozumiem, jak można mówić o prawach kobiet, ignorując prawa tych najmniejszych i najsłabszych. Płód to nie zbiór komórek, ale przyszły człowiek, który zasługuje na miłość i ochronę.;-0.9
Nie rozumiem, jak można mówić, że to tylko „zabieg”. Przecież to nie wycięcie zęba, tylko koniec czyjegoś życia.;-0.9
Zamiast zabijać nienarodzone dzieci, powinniśmy wspierać kobiety w ciąży.;-0.9
Dziecko w łonie matki jest człowiekiem od momentu poczęcia – prawo powinno chronić jego życie.;-0.9
Płód to już człowiek i ma prawo żyć, tak jak my.;-0.9
Aborcja to okrutne i nieludzkie. Nie powinno się tego robić.;-0.9
Zabijanie nienarodzonych to jedna z największych tragedii naszych czasów.;-0.8
Jeśli uznajemy, że zabójstwo dorosłej osoby jest złe, to dlaczego mamy akceptować zabójstwo niewinnego dziecka tylko dlatego, że jest jeszcze w łonie matki?;-0.8
Aborcja powinna być zakazana w przypadkach, gdy ciąża nie stanowi zagrożenia dla życia matki.;-0.8
Aborcja powinna być zakazana w przypadku zdrowych płodów, chyba że ciąża stanowi zagrożenie dla zdrowia matki.;-0.8
Prawdziwe postępowe społeczeństwo to takie, które wspiera kobiety w ciąży, a nie daje im możliwość zabicia własnych dzieci. Powinniśmy rozwijać systemy wsparcia, a nie ułatwiać aborcję.;-0.8
Każdy płód ma prawo do życia, niezależnie od okoliczności.;-0.8
Kobiety zasługują na wsparcie, a nie rozwiązania, które zabijają ich dzieci.;-0.8
Nie jesteśmy właścicielami życia, które powstaje w naszym ciele, ale jego opiekunami. Aborcja to nie wybór, ale wyrok śmierci dla tych, którzy nie mogą się bronić.;-0.8
