statement;score
Wspólna armia Unii Europejskiej to byłby koniec niepodległości. Wspólna armia to początek superpaństwa, w którym Polska byłaby tylko prowincją.;-1
Niech UE trzyma się od naszego wojska z daleka. Nie zgadzam się na żadną wspólną armię.;-1
Lepiej zainwestować w obronę własnego kraju niż utrzymywać unijną armię.;-1
Unia Europejska to szkodliwy twór i nie popieram dalszej integracji, dlatego wspólna armia to całkowita katastrofa.;-1
Ostatnie wydarzenia pokazują jak najsilniejsze państwa podporządkowują sobie te słabsze. Wspólna armia byłaby zbyt niebezpiecznym narzędziem.;-1
Wojsko to podstawa na której stoi państwo i o to ono zapewnia bezpieczeństwo i suwerenność. Oddanie kompetencji Unii Europejskiej to oddanie niepodległości i duże ryzyko.;-1
Nie chcę, żeby polscy żołnierze podlegali unijnym biurokratom. Ktoś w Brukseli będzie decydował, gdzie wysyłamy nasze wojsko? To absurd.;-0.9
Wspólna armia Unii Europejskiej to krok do eurofederalizacji, czyli odebrania krajom prawa do prowadzenia własnej polityki obronnej;-0.9
Wspólna armia sprawiłaby że państwa byłyby całkiem bezbronne i wystarczyłaby jedna decyzja z Parlamentu Europejskiego by dokonać pacyfikacji na innym państwie.;-0.9
Wspólna armia Unii Europejskiej i pozbycie się własnej byłoby groźne ponieważ całkowicie byśmy się rozbroili i mogliby nam narzucać z góry wszystko czego chcą.;-0.9
Wspólna armia europejska mogłaby być wykorzystywana do celów politycznych lub do tłumienia protestów społecznych w państwach członkowskich;-0.9
To byłaby kwestia czasu kiedy wojsko europejskie dokonałoby pacyfikacji na państwie członkowskim za wymyślenie sobie walki o demokrację.;-0.9
Gdyby Unia Europejska posiadała własną armię na sto procent byłaby ona wykorzystana do wywierania presji na członkach.;-0.9
Armia Unii Europejskiej to droga do tego, by Unia wchodziła w konflikty, które nas nie dotyczą. Polska powinna trzymać się NATO i własnego wojska.;-0.8
Złożoność procesu decyzyjnego w UE oraz różnorodność interesów państw członkowskich mogłyby prowadzić do paraliżu decyzyjnego i nieskuteczności wspólnej armii w sytuacjach kryzysowych. Biurokracja unijna mogłaby utrudniać sprawne funkcjonowanie takiej struktury.;-0.8
Wspólna armia europejska to mniejsze fundusze na własne wojsko narodowe, ostatecznie oba twory byłyby niedofinansowane i słabe.;-0.8
Integracja różnych armii narodowych, z ich odmiennymi doktrynami, wyposażeniem, standardami szkolenia i językami, byłaby procesem długotrwałym i kosztownym.;-0.8
