statement;score
Każdy obywatel powinien mieć prawo do posiadania broni bez żadnych ograniczeń.;-1
Posiadanie broni to podstawowe prawo obywatelskie i fundament wolności jednostki.;-1
Obywatele powinni mieć prawo do broni jako gwarancji przeciwko tyranii państwa.;-1
Prawo do posiadania broni jest zapisane w tradycji wielu krajów i powinno być chronione.;-1
Broń palna to narzędzie obrony, które powinno być dostępne dla wszystkich odpowiedzialnych obywateli.;-1
Każdy obywatel powinien mieć prawo do posiadania pistoletu w celu ochrony siebie i rodziny.;-1
Prawo do noszenia pistoletów to kluczowy element wolności obywatelskiej.;-1
Prawo do posiadania broni powinno być gwarantowane przez konstytucję.;-0.9
Każdy powinien mieć prawo do obrony siebie i swojej rodziny za pomocą broni.;-0.9
Brak dostępu do broni odbiera ludziom możliwość obrony w sytuacjach kryzysowych.;-0.9
Mam prawo do obrony siebie i swojej rodziny. Jeśli ktoś wtargnie do mojego domu, nie będę czekał na policję.;-0.9
Przestępca nie wie, kto ma broń, więc dwa razy się zastanowi, zanim kogoś napadnie. To działa odstraszająco.;-0.9
Zakazy broni działają tylko na tych, którzy i tak prawa przestrzegają. Złodzieje i tak broń zdobędą.;-0.9
Każdy dorosły, który przejdzie podstawowe szkolenie, powinien mieć możliwość posiadania broni.;-0.8
Dostęp do broni powinien być ograniczony tylko w przypadku osób z przeszłością kryminalną.;-0.8
Osoby spełniające kryteria powinny mieć możliwość posiadania broni bez większych ograniczeń.;-0.8
Zakazywanie posiadania pistoletów tylko osłabia zdolność obywateli do obrony własnej.;-0.8
Ograniczanie dostępu do broni krótkiej sprawia, że obywatele stają się bezbronni wobec przestępców.;-0.8
Broń to tylko narzędzie. Człowiek decyduje, jak ją użyć. Nie zabraniamy samochodów, bo ludzie powodują wypadki.;-0.8
Broń w rękach praworządnych obywateli to element odstraszający dla złodziei.;-0.8
Jak więcej ludzi będzie miało broń, to przestępczość spadnie.;-0.8
Normalni ludzie nie będą strzelać do siebie bez powodu. To przestępcy są problemem.;-0.8
Historia pokazuje, że rządy, które rozbrajają społeczeństwo, prędzej czy później wykorzystują to przeciwko obywatelom. Nie chodzi tylko o bezpieczeństwo tu i teraz, ale też o długofalowe konsekwencje. Jeśli nie mamy prawa do posiadania broni, to władza ma nad nami pełną kontrolę.;-0.8
Mam prawo do obrony siebie i mojej rodziny. Jeśli ktoś włamie się do mojego domu, nie będę dzwonił na policję i czekał, aż przyjadą. Czasem liczą się sekundy, a ja nie chcę być ofiarą. Przestępcy i tak mają dostęp do broni – zakazy działają tylko na praworządnych obywateli.;-0.8
Osoby z zaburzeniami psychicznymi nie powinny mieć prawa do posiadania broni.;-0.7
Broń to narzędzie, które wymaga odpowiedzialności, ale powinna być dostępna.;-0.7
Posiadanie broni zwiększa poczucie bezpieczeństwa wśród obywateli.;-0.7
Każda dorosła osoba powinna mieć możliwość uzyskania pozwolenia na broń krótką po przejściu odpowiednich szkoleń.;-0.7
Zabronienie broni nie sprawi, że zniknie przemoc. Złodzieje i mordercy i tak zdobędą broń nielegalnie.;-0.7
W krajach, gdzie pozwala się na noszenie broni, przestępczość często jest mniejsza, bo ludzie mogą się bronić.;-0.7
Dobrze przeszkolony i zrównoważony człowiek z bronią to nie zagrożenie.;-0.7
Policja nie zawsze zdąży na czas, więc muszę mieć coś, żeby chronić siebie i rodzinę.;-0.7
Jestem za posiadaniem broni, ale pod warunkiem, że osoby ją kupujące przechodzą dokładne testy psychologiczne i odpowiednie szkolenia. Nie można dopuścić do sytuacji, w której ktoś niestabilny dostaje broń.;-0.7
Ludzie myślą, że jeśli zabronimy broni, to przemoc zniknie. To naiwne. Przestępcy nie kupują broni w sklepach, tylko na czarnym rynku. Jeśli zakazy miałyby działać, to czemu w miejscach z surowymi przepisami i tak dochodzi do strzelanin? Broń to narzędzie – jeśli jest w rękach odpowiedzialnych ludzi, może uratować życie.;-0.7
Broń palna powinna być dostępna tylko dla osób z odpowiednimi licencjami.;-0.6
Pistolety to narzędzie, które umożliwia skuteczną samoobronę w sytuacjach zagrożenia.;-0.6
Przy odpowiednich testach psychologicznych i szkoleniach można ograniczyć ryzyko nadużyć.;-0.6
Rządy, które chcą całkowicie rozbroić ludzi, zazwyczaj chcą ich kontrolować.;-0.6
Jak ktoś dba o bezpieczeństwo i ma broń zabezpieczoną w sefie to nie ma w tym nic złego.;-0.6
To nie broń zabija, tylko człowiek. Odpowiednie testy wykluczą szalonych ludzi, a normalni obywatele będą mogli się bronić w razie czego.;-0.6
Jak ktoś przejdzie testy psychologiczne i szkolenie, to powinien móc mieć broń do obrony.;-0.6
Licencja na broń powinna wymagać szerokiego szkolenia i psychotestów.;-0.5
Każdy zakup broni powinien być rejestrowany w centralnym systemie.;-0.5
Posiadanie broni powinno być przywilejem, a nie powszechnym prawem.;-0.5
Prawo do posiadania broni powinno być ściśle regulowane i kontrolowane przez państwo.;-0.4
Szkolenia z zakresu obsługi broni powinny być obowiązkowe dla jej posiadaczy.;-0.4
Jestem za bronią, ale pod warunkiem rygorystycznych testów psychologicznych i szkoleń.;-0.4
Nie każdy powinien mieć dostęp do broni, ale całkowity zakaz to przesada.;-0.4
Tylko wybrane grupy zawodowe powinny mieć prawo do posiadania broni w określonych okolicznościach.;-0.3
Nie jestem wielkim fanem broni, ale rozumiem ludzi, którzy chcą jej mieć dla bezpieczeństwa.;-0.3
Tylko służby mundurowe i specjalnie licencjonowani ochroniarze powinni mieć prawo do noszenia broni.;-0.2
Nie jestem fanem broni, ale jeśli ktoś naprawdę chce ją mieć, to niech przechodzi bardzo rygorystyczne procedury. Powinno się robić regularne kontrole, tak jak badania kierowców.;-0.2
Tylko wybrane grupy zawodowe powinny mieć prawo do posiadania broni w określonych okolicznościach.;-0.1
Obrona własna to jedno, ale broń nie powinna być zbyt łatwo dostępna.;-0.1
Nie uważam, żeby całkowity zakaz był konieczny, ale dostęp do broni powinien być dużo trudniejszy.;-0.1
Nie mam silnej opinii, ale myślę, że broń w rękach niewłaściwych osób to zbyt duże ryzyko.;0.1
Nie jestem wielkim zwolennikiem broni, ale jeśli ktoś chce ją mieć do obrony własnej, niech ma. Tylko niech przejdzie wszystkie testy i szkolenia.;0.1
Broń palna powinna być zakazana, z wyjątkiem policji i wojska.;0.2
Każdy dostęp do broni prowadzi do potencjalnego wzrostu przemocy.;0.2
Regulacje są ważne – jeśli broń musi być, to tylko dla tych, którzy przejdą bardzo rygorystyczne testy.;0.2
Nie przeszkadza mi broń sportowa czy myśliwska, ale noszenie jej na co dzień to zły pomysł.;0.2
Zakaz posiadania broni zmniejszyłby liczbę przestępstw z jej użyciem.;0.3
Broń nie jest potrzebna w społeczeństwie, które stawia na dialog i mediację.;0.3
Zakaz broni to krok w stronę bardziej pokojowego społeczeństwa.;0.3
Powszechne posiadanie broni prowadzi do wzrostu przemocy i powinno być surowo zakazane.;0.4
Więcej broni w społeczeństwie prowadzi do eskalacji konfliktów.;0.4
Więcej broni to więcej zagrożeń i większe ryzyko.;0.4
