statement;score
CPK to kolosalna strata pieniędzy – za te miliardy można by wyremontować wszystkie istniejące lotniska.;-1
Dużo się mówi o CPK ale nikt nie zastanowił się nad faktem że nie potrzebujemy tak dużego i rozległego projektu. Nie ta skala i nie ten region. Strata pieniędzy.;-1
Nie stać nas na ten projekt, zwłaszcza w obecnych czasach kryzysu gospodarczego.;-1
Mamy problemy gospodarcze, demograficzne, ekonomiczne i wojna w sąsiednim kraju. CPK to idiotyczny pomysł.;-1
Projekt CPK będzie kolejnym miejscem do defraudacji i kolesiostwa.;-1
CPK to projekt robiony na siłę – bardziej potrzebujemy mieszkań i inwestycji w edukację niż wielkiego lotniska.;-1
Polska nie potrafi tworzyć tak dużych projektów, trzeba to odpuścić.;-1
CPK to kolejny przykład megalomaństwa i zbytniej wiary we własne możliwości.;-1
Nie wiem kto ma latać z tego lotniska. Huby lotnicze już są w tej części Europy, a do wykorzystania tak wielkiego obiektu potrzeba wielu obywateli i turystów. Będzie świeciło pustkami.;-0.9
Nie mamy na to budżetu – lepiej inwestować w drogi i kolej niż w kolejny projekt, który może nigdy nie powstać.;-0.9
Jak zwykle porywamy się z motyką na słońce i znowu nic z tego nie wyjdzie a stracimy miliardy.;-0.9
Ogromne lotnisko z samolotami niszczącymi środowisko, tragiczny pomysł.;-0.9
CPK to przykład gigantomanii rządzących – wydadzą miliardy, a efekt będzie tragiczny.;-0.9
W czasach inflacji, kryzysu i wojny mamy budować lotnisko marzeń? Kiepski pomysł.;-0.9
Projekt CPK który wciąż nawet nie ruszył już pochłonąl masę pieniędzy. To będzie dziura bez dna w której utopimy kupę pieniędzy.;-0.9
Nasze państwo nie potrafi tworzyć dużych inwestycji i z nich korzystać. Takim projektem się ośmieszymy i stracimy wiele pieniędzy.;-0.9
Kolejny megalomański projekt służący budowaniu ego i szpanowania przed resztą państw. A efekt będzie taki sam jak zawsze - klapa pochłaniająca miliardy.;-0.8
Rząd nie potrafi nawet wybudować autostrady na czas, a chce budować największe lotnisko w regionie. Śmiechu warte.;-0.8
To absurd – zamiast budować nowy port, rozwijajmy lotniska regionalne.;-0.8
Skończmy już z tym CPK, bo nic w związku z tym projektem nie idzie do przodu. Zajmijmy się prawidzymi problemami.;-0.8
Lotnictwo nie jest ekologiczne i nie jest dobre dla środowiska. Może lepsze byłyby szybkie koleje.;-0.8
Jeśli lotnictwo ma przyszłość, to może zamiast CPK trzeba inwestować w elektryczne samoloty i innowacje.;-0.8
Wielu ekspertów i specjalistów ma zarzuty co do tego projektu i zwracają uwagę na wiele problemów. To chyba nieprzemyślany pomysł.;-0.8
Znając Polskę i to jak projekty tu przebiegają to zapewne stracimy kupę pieniędzy i cały projekt będzie trwał w nieskończoność.;-0.8
Budowa CPK wiąże się z gigantycznymi kosztami, które mogą obciążyć budżet państwa i wpłynąć na inne ważne inwestycje.;-0.8
Fajnie, że myślimy o przyszłości, ale może zamiast CPK, warto najpierw poprawić inne lotniska, drogi, infrastrukturę.;-0.8
Najpierw niech rząd udowodni, że potrafi dokończyć mniejsze inwestycje, a potem niech się bierze za CPK.;-0.7
Jestem dosyć sceptyczny i co do pomysłu i co do dotychczasowych postępów i działań.;-0.7
Zamiast wydawać miliardy na mityczne CPK, lepiej dofinansować służbę zdrowia i edukację.;-0.7
Budowa i eksploatacja tak dużego lotniska będzie miała negatywny wpływ na środowisko naturalne, w tym emisję hałasu i zanieczyszczeń.;-0.7
CPK będzie musiał konkurować z innymi już istniejącymi i rozwijającymi się hubami w Europie.;-0.7
Ogromne środki planowane na CPK mogłyby zostać zainwestowane w inne, bardziej pilne potrzeby infrastrukturalne kraju.;-0.7
Niemcy mają Frankfurt, Francja – Paryż, a my nie potrzebujemy gigantomanii, bo po prostu nie mamy tylu pasażerów.;-0.7
Mam duże wątpliwości co do budowy tego obiektu. Potrzebujemy dużych projektów, ale CPK jest kontrowersyjne i nie wiem czy aż takie konieczne.;-0.7
Rząd zmienia zdanie co do lokalizacji, koncepcji i finansowania – to się nigdy nie skończy.;-0.7
Lepszym pomysłem byłaby rozbudowa istniejących lotnisk, a nie budowa nowego od zera.;-0.7
Warszawa nie potrzebuje nowego lotniska, tylko lepszego zarządzania tym, co już ma.;-0.6
Niech rząd pokaże dokładne wyliczenia, bo na razie wygląda to na wielką niewiadomą.;-0.6
Kolejne wielkie lotnisko? Może lepiej inwestować w szybkie koleje, które są bardziej ekologiczne.;-0.6
Efektywne zarządzanie tak dużym kompleksem logistycznym będzie ogromnym wyzwaniem.;-0.6
Obawiam się że CPK zabije lokalne lotniska i inne obiekty.;-0.5
Jeśli przeznaczymy dużo pieniędzy na projekt CPK, to na pewno nie zrealizujemy innych projektów i wiele inwestycji przepadnie.;-0.5
Środowisko i ekosystem w miejscu budowy strasznie ucierpi przez tak duży projekt.;-0.4
Kolejny wielki projekt i znowu tylko Warszawa. Tak jakby inne miejsca w Polsce nie istniały.;-0.4
Budowa CPK będzie wymagała wywłaszczenia wielu gruntów, co może prowadzić do konfliktów społecznych i protestów.;-0.4
Budowa lotniska może negatywnie wpłynąć na życie mieszkańców okolicznych miejscowości.;-0.4
Nowoczesne lotnisko się przyda, ale czy na pewno potrzebujemy tak gigantycznego projektu.;-0.4
Obawiam się że CPK nie przyciągnie tylu turystów, przewoźników i firm na ile się zakłada i jego potencjał nie zostanie wykorzystany.;-0.4
