statement;score
Wejście do strefy euro to zdrada polskich interesów i suwerenności.;-1
Nigdy nie zgodzę się na euro – to początek końca naszej niezależności i koniec polskiej waluty.;-1
Euro to pomysł dla naiwnych – stracimy kontrolę nad wszystkim, a zyskają na tym tylko bogatsze kraje.;-1
Euro zniszczy polską gospodarkę tak samo, jak zniszczyło gospodarki wielu innych krajów.;-1
Złoty to symbol naszej wolności – oddanie go oznacza rezygnację z niezależności.;-1
Wprowadzenie euro to zdrada interesów narodowych i zamach na polską gospodarkę.;-1
Euro to katastrofa – nie możemy pozwolić, by unijni biurokraci decydowali o naszej walucie.;-1
Nie popieram euro bo to tragiczny pomysł dla naszej gospodarki i ekonomii.;-1
Nie zgadzam się na wprowadzenie waluty euro zamiast naszego złotego.;-1
Unia Europejska to tonący statek i projekt który upadnie. Nie powinniśmy przyjmować ich waluty.;-1
Euro to koniec złotówki, a złotówka to symbol naszej niezależności. Nie możemy jej oddać.;-1
Wejście do strefy euro to ostateczne podporządkowanie się Unii. To zdrada narodowa.;-1
Euro to katastrofa – zobaczmy, co stało się z Grecją czy Włochami.;-0.9
Unia chce nam narzucić euro, ale Polska powinna się przed tym bronić.;-0.9
Nie chcę euro, bo oznacza to życie w drożyźnie i problemy dla małych firm.;-0.9
Euro to projekt polityczny, nie ekonomiczny – to narzędzie kontroli nad krajami członkowskimi.;-0.9
Złoty to nasza waluta narodowa, symbol suwerenności.;-0.9
Wejście do strefy euro to utrata kontroli nad polityką pieniężną.;-0.9
Złoty to część naszej tożsamości narodowej.;-0.9
Złoty to nasza waluta i nie potrzebujemy euro, by rozwijać gospodarkę.;-0.8
Złoty to część naszej niezależności, a euro oznacza podporządkowanie Niemcom i Francji.;-0.8
Unia narzuca nam coraz więcej rzeczy – euro to kolejny krok w stronę utraty suwerenności.;-0.8
Nie możemy wejść do strefy euro, bo stracimy możliwość dostosowywania naszej waluty do krajowej gospodarki.;-0.8
Dobrze jest mieć własną walutę która jest naszą marką i symbolem narodowym.;-0.8
Euro jest dobre dla bogatych krajów. Dla takich jak Polska to tylko drożyzna i mniejsze pensje w przeliczeniu na siłę nabywczą.;-0.8
Wprowadzenie euro to oddanie kontroli nad finansami Brukseli – nie możemy na to pozwolić.;-0.7
Wielu ludzi już teraz ma problem z kosztami życia, a euro może to jeszcze pogorszyć.;-0.7
