statement;score
Mamy prawo decydować, kto może przebywać w naszym kraju. A ci ludzie przyjechali tu na zaproszenie Łukaszenki.;1
Każdy kraj ma prawo chronić swoje granice. Jeśli raz pozwolimy na łamanie prawa, nie zatrzymamy tego procesu.;1
To nie uchodźcy, tylko najeźdźcy - rzucają kamieniami w naszych żołnierzy, niszczą infrastrukturę graniczną, atakują funkcjonariuszy. Żaden prawdziwy uchodźca tak się nie zachowuje, to są prowokatorzy nasłani przez reżim.;1
Nie zgadzam się na żadnych muzłumanów w Polsce.;1
To nie są uchodźcy, tylko nielegalni imigranci nasłani przez Putina, żeby zdestabilizować Polskę.;1
Zacznie się od kilku tysięcy, a potem będą dziesiątki i setki tysięcy. Trzeba odciąć ten proceder w zarodku.;0.9
Tacy są niby biedni i poszkodowani a atakują funkcjonariuszy i atakują naszych żołnierzy. To bandyci a nie uchodźcy.;0.9
To, co się dzieje na granicy, to element większego planu Putina - najpierw destabilizacja przez migrację, potem kolejne działania hybrydowe, a w końcu może nawet agresja militarna. Musimy zatrzymać to na wczesnym etapie.;0.9
Te operacje na granicy to dopiero początek - Rosja wykorzystuje migrację jako broń i będzie to robić coraz częściej, jeśli nie pokażemy zdecydowanego oporu.;0.9
Migranci, którzy niszczą nasze ogrodzenia, atakują służby i próbują siłą przekroczyć granicę, łamią prawo - dlaczego mielibyśmy wpuszczać osoby, które już na wstępie okazują brak szacunku dla naszych zasad.;0.9
Ten problem nie zakończy się na grupie uchodźców, tylko będzie ich coraz więcej. Przyjmiemy jednych, przyjdą kolejni. Żadnych ustępstw.;0.9
Nie można pozwolić na łamanie naszych granic! To jest agresja hybrydowa, a my mamy obowiązek jej przeciwdziałać.;0.9
To nie są żadni uchodźcy tylko nachodźcy i wysłannicy Putina aby zdestabilizować naszą granicę.;0.8
Ci ludzie to operacja w celu destabilizacji naszej wschodniej granicy i zaprowadzenia kryzysu migracyjnego.;0.8
Każde ustępstwo wobec migrantów to wygrana Rosji i Białorusi. Putin chce nas rozgrywać i nie możemy mu na to pozwolić.;0.8
Większość z tych uchodźców to zdrowi, młodzi mężczyźni. Czemu nie walczą o swój kraj, tylko próbują dostać się do Europy?;0.8
To jest celowa operacja hybrydowa Rosji i Białorusi, mająca na celu destabilizację naszego kraju i całej Unii Europejskiej.;0.8
Fala migracyjna to element wojny hybrydowej, którą Rosja prowadzi przeciwko NATO i UE.;0.8
Ci ludzie mogli ubiegać się o azyl w pierwszym bezpiecznym kraju, do którego dotarli - jeśli przybywają z Białorusi, to znaczy, że już tam byli bezpieczni. Fakt, że próbują dostać się dalej, dowodzi, że są to migranci ekonomiczni.;0.8
Każdy wpuszczony migrant to sygnał dla Łukaszenki i Putina, że ich strategia działa, co tylko zachęci ich do zwiększenia presji.;0.8
Nasi żołnierze i funkcjonariusze straży granicznej to bohaterowie, którzy bronią naszego bezpieczeństwa w niewyobrażalnie trudnych warunkach. Zamiast ich krytykować, powinniśmy ich wspierać i dziękować za służbę.;0.8
Gdyby naprawdę uciekali przed wojną, to zostaliby w pierwszym bezpiecznym kraju. A oni wybierają Europę, bo chcą socjalu.;0.8
Niemcy już raz otworzyły granice i teraz nie mogą sobie poradzić z tym, co się dzieje. My mamy zrobić ten sam błąd?;0.8
Wystarczy spojrzeć na Niemcy i na to co z ich krajem zrobili imigranci z Afryki.;0.8
Nie możemy pogrywać w prowokacje wymierzone w naszą stronę.;0.7
Polityka otwartych granic to utopia, która prowadzi do chaosu i konfliktów. Potrzebujemy jasnych zasad, kontroli i egzekwowania prawa, żeby migracja była bezpieczna zarówno dla nas, jak i dla migrantów.;0.7
Nie wiemy, kim są ci ludzie. Nie mają dokumentów, mogą być przestępcami, terrorystami albo żołnierzami specjalnie wysłanymi przez wrogie państwa.;0.7
Nie mamy żadnej pewności, kim są ci ludzie - nie mają dokumentów, nie znamy ich przeszłości, nie wiemy czy wśród nich nie ma terrorystów czy przestępców.;0.7
Ci migranci nie uciekają przed wojną - przylecieli na Białoruś z biletami lotniczymi, płacąc tysiące dolarów przemytnikom. To nie są biedni uchodźcy, tylko imigranci ekonomiczni.;0.7
Tak zwane prawa człowieka są wykorzystywane jako narzędzie do wymuszania na nas polityki otwartych granic. Mamy prawo i obowiązek chronić nasze granice przed nielegalną migracją.;0.7
To nie są uchodźcy, tylko ludzie, którzy dali się kupić Łukaszence za obietnice łatwego życia w Europie.;0.7
Czy mamy być kolejnym krajem, który nie potrafi poradzić sobie z masową migracją? Europa już raz to przerabiała.;0.7
Jeśli ci ludzie naprawdę są uchodźcami i potrzebuje pomocy, powinni zgłaszać się do legalnych punktów azylowych, a nie forsować granice.;0.6
Każde ustępstwo w sprawie migrantów to sygnał dla Łukaszenki, że jego strategia działa, co tylko zwiększy napływ kolejnych fal.;0.6
Każdy kraj ma prawo chronić swoje granice i kontrolować, kto je przekracza - to podstawa suwerenności.;0.6
Polska nie ma obowiązku przyjmować ludzi, którzy przyszli z Białorusi. Tam nie ma wojny, mogli tam zostać.;0.6
Nie rozumiem czemu ludzie zapominają że tam są potencjalni terroryści i niebezpieczne jednostki.;0.5
Te osoby pochodzą z zupełnie innego kręgu kulturowego, mają inne wartości, inną religię - to przepis na konflikt społeczny.;0.5
Nie jestem przeciwko migrantom, ale jak ich przyjmiemy, to czy mamy plan, co dalej. Bo chyba skończymy jak Niemcy i Francja.;0.5
Jeśli są prawdziwymi uchodźcami to dlaczego nie chcą przekraczać granicy legalnie i są agresywni.;0.5
Nie wierzę w ich intencję i to że są tacy biedni, bo większość to mężczyźni i nie mają dokumentów.;0.4
