statement;score
In vitro to coś, czego nie powinno się wspierać – to ingerencja w życie ludzkie, którą należy powstrzymać.;-1
In vitro to absolutna nieakceptowalna metoda – życie ludzkie nie powinno być tworzone w laboratorium.;-1
In vitro to niemoralne i niezgodne z wiarą – życie ludzkie ma wartość, która nie powinna być manipulowana.;-1
In vitro to niewłaściwe rozwiązanie. Dzieci nie powinny być produkowane w laboratoriach. Lepiej skupić się na adopcji, gdzie dzieci czekają na rodzinę.;-1
In vitro to absolutna ingerencja w naturę. Dzieci nie powinny przychodzić na świat w wyniku manipulacji – powinno się je adoptować, a nie tworzyć w laboratoriach.;-1
In vitro to coś, czego nie można popierać. Manipulowanie życiem ludzkim to coś, czego nie akceptuję, zwłaszcza kiedy dzieci czekają na adopcję w domach dziecka.;-1
Nie popieram in vitro.;-1
In vitro to tworzenie ludzi, które jest dziwne i niemoralne i nieetyczne.;-0.9
In vitro to metoda, która powinna być zakazana – dzieci nie mogą być traktowane jak produkty.;-0.9
Nie popieram in vitro. Ingerowanie w naturalny proces poczęcia i manipulowanie życiem ludzkim to coś, czego nie powinniśmy robić.;-0.9
In vitro to nie jest dobre rozwiązanie a już na pewno nie refundowane przez państwo.;-0.9
In vitro jest nienaturalne i sprzeczne z życiem, dlatego nie powinniśmy go wprowadzać.;-0.9
In vitro jest niewłaściwe – nie możemy pozwalać na manipulowanie procesem poczęcia.;-0.8
Choć in vitro może pomóc w leczeniu niepłodności, to niepokoją mnie kwestie związane z zarodkami, które się nie wykorzystuje. To wywołuje poważne pytania etyczne.;-0.8
In vitro to zła droga. Choć daje szansę na dzieci, nie jestem przekonany, czy to rozwiązanie, które powinniśmy szeroko wspierać. Zbyt wiele problemów związanych z moralnością.;-0.8
In vitro ogólnie nie jest zbyt moralne i jest inwazyjną metodą.;-0.8
Nie rozumiem skąd pomysł tworzenia dzieci w laboratoriach i probówkach, są przecież inne możliwości, np. adopcja.;-0.8
Nieposiadanie dzieci to jeszcze nie jest koniec świata, a zawsze można dziecko adoptować. Natomiast in vitro to jest nienaturalna, sztuczna rzecz.;-0.8
In vitro to nie tylko ingerencja w naturę, ale i moralna degradacja – dzieci nie powinny być produktem medycznym.;-0.7
