statement;score
Zdecydowanie nie zgadzam się z podatkiem katastralnym. To po prostu dodatkowy sposób na odbieranie ludziom ciężko zarobionych pieniędzy.;1
Podatek katastralny to absolutnie zły pomysł. To jeszcze jedno obciążenie, które pogłębi problemy zwykłych ludzi.;1
To naprawdę zły pomysł. Podatek katastralny tylko pogłębi problemy ludzi z niższymi dochodami.;1
Podatek katastralny to po prostu okradanie ludzi z ich oszczędności. To niewłaściwe.;1
Podatek katastralny to bardzo niesprawiedliwe rozwiązanie, które jeszcze bardziej obciąży osoby, które już mają dość wydatków.;1
Zdecydowanie jestem przeciwny podatkowi katastralnemu. To tylko dodatkowe obciążenie dla ludzi, którzy mają już dość innych opłat.;1
Podatek katastralny to czysty komunizm i zamach na prywatną własność - dzisiaj 3 mieszkania, jutro 2, a pojutrze zabiorą ci jedyne mieszkanie, które masz.;1
Jak człowiek ciężko pracował całe życie, żeby kupić kilka mieszkań na przyszłość, to teraz ma być za to karany? To jest chore.;1
Podatek katastralny to pomysł, który zamiast pomagać, będzie tylko powodował dodatkowe trudności dla ludzi.;0.9
Nie rozumiem na ile jeszcze podatków się zgodzimy zanim zaczniemy protestować przed kolejnym okradaniem obywatela.;0.9
Podatek katastralny od trzeciego mieszkania to tylko początek - za kilka lat obejmie każdego, kto ma cokolwiek.;0.9
Podatek katastralny to bardzo zły pomysł, który tylko pogłębi problemy osób o średnich dochodach, nie zmieniając niczego w większej skali.;0.8
Podatek katastralny pogłębi problemy finansowe osób posiadających małe i średnie nieruchomości.;0.8
Podatek katastralny uderzy głównie w klasę średnią i emerytów, którzy mają dodatkowe mieszkanie jako zabezpieczenie na starość.;0.8
Podatek katastralny zabije rynek wynajmu - właściciele mieszkań będą musieli podnieść czynsze, żeby się to opłacało.;0.8
To jest typowy socjalizm - zabierz bogatym i daj biednym, tylko że w praktyce bogaci sobie poradzą, a biedniejsi i klasa średnia zostaną z problemem.;0.8
Podatek katastralny to pomysł z krajów, gdzie państwo zapewnia mieszkania potrzebującym - u nas tego nie ma, więc to tylko dodatkowy haracz.;0.8
To niesprawiedliwe, że podatek katastralny dotknie również osoby, które nie mają dużych dochodów, ale za to drogie domy.;0.7
Kolejny pomysł, jak dobrać się do kieszeni ciężko pracujących Polaków - jakby nie było dość podatków w tym kraju.;0.7
Wiadomo że deweloperzy przekażą koszty na najemców i tak naprawdę podatek katastralny nieważne od ilu mieszkań uderzy w zwykłych obywateli.;0.7
Niby podatek ma dotyczyć tylko bogatych, ale jak zawsze, w praktyce uderzy w zwykłych ludzi.;0.7
