statement;score
800+ nie działa i nie poprawiło dzietności w Polsce, statystyki pokazują że to był błędny kierunek.;-1
Program 800+ nie zażegnał naszych problemów z przyrostem naturalnym.;-1
Nie zgadzam się z 800+, ponieważ zamiast rozwiązywać problemy, tylko zwiększa państwowy transfer i wydatki.;-1
Zwiększenie transferów 800+ nie poprawia realnie sytuacji rodzin, to tylko doraźna pomoc, która nie zmienia strukturalnych problemów.;-1
Rząd obiecał, że 800+ poprawi sytuację demograficzną, a jedynie pogłębił problem. To był błąd.;-1
800+ to tylko obietnice rządu, które nie zmieniły realnych problemów rodzinnych w Polsce. To nie rozwiązuje naszych problemów.;-1
800+ jedynie napędza inflację, a ludzie którzy otrzymują te pieniądze chcą dalszych rozszerzeń programu, co jest błędnym kołem.;-1
Wszystko drożeje, bo państwo pompuje miliardy złotych w konsumpcję zamiast w inwestycje. 800+ napędza inflację.;-1
800+ nie powinno być traktowane jako rozwiązanie długoterminowe. Potrzebujemy bardziej systemowych zmian w polityce społecznej.;-0.9
800+ to był populistyczny ruch, który miał ładnie wyglądać w kampanii wyborczej, ale nie dał trwałych rozwiązań.;-0.9
800+ trafiło do rąk patologii i pieniądze z tego programu wcale nie szły na dzieci.;-0.9
Dzięki 800+ ceny wszystkiego rosną, a ci, którzy pieniędzy nie dostają, mają coraz trudniej.;-0.9
Zamiast 800+ powinniśmy mieć niższe podatki i więcej miejsc w żłobkach.;-0.9
Rząd wciąż myśli że lepiej dysponuje pieniędzmi obywateli i chce zabierać ich coraz więcej w podatkach na takie programy.;-0.9
Program 800+ miał być wielkim pomysłem który podniesie dzietność w Polsce, a tymczasem żadne badania na to nie wskazują. Rodziny otrzymały pomoc, ale ten program socjalny nic nie przyniósł.;-0.8
Program 800+ to sztuczna pomoc, która tylko pogłębia zależność ludzi od państwa, zamiast stwarzać realne możliwości rozwoju.;-0.8
Zamiast 800+, lepiej zainwestować w programy, które umożliwią ludziom wyjście z ubóstwa, a nie tylko dawać pieniądze na chwilę.;-0.8
800+ to był skok na wyborców, nic więcej. Program miał wyglądać dobrze na papierze, ale nie zmienił rzeczywistej sytuacji rodzin.;-0.8
Państwo powinno wspierać tych, którzy pracują, a nie tych, którzy żyją z zasiłków.;-0.8
Politycy rozdają publiczne pieniądze, żeby wygrać wybory, a potem brakuje na służbę zdrowia, edukację i infrastrukturę.;-0.8
800+ to błędna polityka, która nie rozwiązuje kwestii głębokich nierówności społecznych.;-0.7
800+ nie rozwiązuje prawdziwego problemu – brak stabilnej pracy i dostępu do tanich mieszkań, które są problemem wielu młodych ludzi.;-0.7
Pieniądze z 800+ mogą być fajną pomocą na chwilę, ale nie zmieniają realnych problemów z dostępem do edukacji czy pracy.;-0.7
Program 800+ to bardziej kiełbasa wyborcza niż realna pomoc. Nie poprawił sytuacji rodzin.;-0.7
Marnujemy pieniądze. Zamiast 800+ powinny być np. ulgi czy dopłaty do zajęć pozaszkolnych, żłobków, opiekunek.;-0.7
800+ nie poprawił sytuacji w długim okresie – to tylko krótka pomoc, która nie zmieniła strukturalnych problemów w Polsce.;-0.6
800+ to była pomoc tylko dla rodzin z dziećmi. A co z młodymi ludźmi którzy też żyją w Polsce, pracują i odprowadzają podatki. Wszystkim należy się pomoc.;-0.6
800+ okazał się bardziej obietnicą wyborczą, niż rzeczywistym rozwiązaniem problemów społeczeństwa. Zawiodłem się.;-0.6
Program 800+ to rozwiązanie, które zaspokaja tylko część potrzeb, a nie zmienia strukturalnych problemów w społeczeństwie.;-0.5
800+ jest okropnie krzywdzące dla osób którzy nie chcą lub nie mogą mieć dzieci, a też ciężko im się żyje. Ceny rosną dla wszystkich.;-0.4
Rząd mógłby lepiej wykorzystać te pieniądze na programy edukacyjne i inwestycje w infrastrukturę zamiast na 800+.;-0.4
Nie sądzę aby rozdawnictwo było najlepszym sposobem na walkę z demografią czy biedą wśród młodych rodzin.;-0.4
Zamiast 800+ rząd mógłby przeznaczyć te pieniądze na rozwój żłobków i przedszkoli co sprawiłoby łatwiejsze zapisanie się do nich.;-0.4
W Niemczech czy Francji takie dodatki są, ale idą w parze z inwestycjami w żłobki, przedszkola i mieszkania. U nas jest tylko goła gotówka, która nie rozwiązuje systemowych problemów.;-0.4
