statement;score
Pomysł zakazu samochodów spalinowych w Unii Europejskiej jest skrajnie niepraktyczny i krzywdzi zwykłych ludzi.;-1
To skandal, że UE chce wprowadzać zakaz samochodów spalinowych, nie myśląc o skutkach ekonomicznych i społecznych.;-1
Samochody elektryczne nie są wystarczająco rozwinięte, by wyeliminować spalinówki – zakaz jest zbyt pochopny.;-1
Nie ufam Unii Europejskiej pod kątem takich zakazów.;-1
Ekoterroryści znowu chcą uprzykrzać życie zwykłym obywatelom.;-1
Nie możemy zmuszać ludzi do przejścia na samochody elektryczne – potrzebujemy bardziej zrównoważonych rozwiązań.;-0.9
Zakaz samochodów spalinowych to polityczne posunięcie, które nie uwzględnia realnych problemów społecznych.;-0.9
Unia Europejska znowu chce godzić w swobody obywatelskie kolejnymi zakazami.;-0.9
Zakaz spalinówek jest zbyt radykalny – potrzebujemy stopniowego przejścia na elektromobilność.;-0.9
Zanieczyszczenie powietrza w Europie jest minimalne w porównaniu do ogromnych emisji z Azji – zakaz spalinówek to przesada.;-0.8
Zakaz samochodów spalinowych to kolejna ingerencja w życie obywateli i próba odebrania im praw.;-0.8
Zakaz samochodów spalinowych uderzy oczywiście w najbiedniejszych.;-0.8
Europa nie powinna skupić się tylko na zakazach samochodów spalinowych, bo inne regiony świata powodują znacznie większe zanieczyszczenie.;-0.8
Promowanie samochodów elektrycznych nie rozwiązuje wszystkich problemów – potrzebne są także inwestycje w transport publiczny.;-0.7
Zakaz samochodów spalinowych to zbyt skomplikowane rozwiązanie w obliczu braku odpowiedniej infrastruktury do ładowania pojazdów elektrycznych.;-0.7
Wprowadzenie zakazu samochodów spalinowych w Europie to tylko kropla w morzu, gdy zanieczyszczenia z Azji są o wiele większe.;-0.7
Europa ma niewielki wpływ na globalne zanieczyszczenia – zakaz samochodów spalinowych to niepotrzebna restrykcja.;-0.7
Zakaz samochodów spalinowych jest ostatecznością, nie powinniśmy tak drastycznie ingerować w rynek.;-0.7
Wprowadzenie zakazu samochodów spalinowych w Europie to rozwiązanie, które nie rozwiąże globalnego problemu z zanieczyszczeniami.;-0.7
Promowanie elektromobilności jest dobre, ale zakaz spalinówek to zbyt drastyczny krok. Powinniśmy raczej zachęcać do korzystania z nowych technologii.;-0.7
Skrócenie emisji spalin w Europie ma niewielki wpływ na globalny problem – trzeba działać globalnie, nie tylko w UE.;-0.6
Bez odpowiedniej infrastruktury, zakaz samochodów spalinowych będzie trudny do wprowadzenia.;-0.6
Samochody elektryczne są przyszłością, ale zakaz spalinówek to zbyt radykalne rozwiązanie, nie rozwiąże to problemu z dnia na dzień.;-0.6
Przeciwdziałanie zmianom klimatycznym jest ważne, ale zakaz samochodów spalinowych to zbyt duża ingerencja w wolność wyboru obywateli.;-0.6
Zakaz samochodów spalinowych to działanie nieproporcjonalne do rzeczywistego wpływu na zmiany klimatyczne.;-0.6
Nie ma potrzeby wprowadzać zakazu samochodów spalinowych – lepsze byłoby wspieranie rozwoju ekologicznych technologii.;-0.6
Zakaz samochodów spalinowych to decyzja, która może zaszkodzić branży motoryzacyjnej i ludziom, którzy nie mogą sobie pozwolić na drogie elektryki.;-0.5
Europa powinna inwestować w technologie ekologiczne, a nie nakładać zakazy na spalinówki. To nie rozwiąże problemów w skali globalnej.;-0.5
Zakaz samochodów spalinowych to zbyt radykalny krok – lepiej wprowadzać programy zachęt i dofinansowań na pojazdy elektryczne.;-0.5
Zamiast zakazu, lepszym rozwiązaniem byłyby dopłaty i dotacje na zakup samochodów elektrycznych.;-0.4
Pomoc finansowa i subsydia na elektryczność to lepsza droga niż karanie właścicieli samochodów spalinowych.;-0.4
Zakaz samochodów spalinowych w Europie to polityczne posunięcie, które nie będzie miało wpływu na realne zmiany klimatyczne.;-0.4
Zakaz samochodów spalinowych nie jest odpowiedzią na problem zanieczyszczeń.;-0.4
Dopłaty na zakup elektryków i inwestowanie w infrastrukturę ładowania to rozsądniejsza droga niż zakaz samochodów spalinowych.;-0.3
Promowanie elektryczności to dobry cel, ale zakazy spalinówek to zbyt brutalne podejście. Powinniśmy dawać ludziom wybór.;-0.3
Rząd powinien wspierać rozwój elektromobilności, ale nie kosztem wprowadzenia restrykcyjnych zakazów dla samochodów spalinowych.;-0.2
Dopłaty do samochodów elektrycznych to dobry sposób, by promować zmiany, nie trzeba od razu wprowadzać zakazu spalinówek.;-0.2
Zakaz samochodów to niebezpieczny kierunek w któym chcą zmierzać szaleńcy z Unii Europejskiej.;-0.1
Zakaz samochodów spalinowych w Europie jest przesadzony, biorąc pod uwagę zanieczyszczenia z innych części świata.;-0.1
Chociaż zakaz spalinówek to ważny krok, elektryczność nie rozwiąże wszystkich problemów związanych z transportem.;0
Promowanie samochodów elektrycznych to zaledwie jeden z elementów walki ze zmianami klimatycznymi, nie rozwiązuje to całego problemu.;0
Elektryczność w samochodach to tylko połowa rozwiązania, ważniejsze jest zmniejszenie produkcji i konsumpcji w ogóle.;0
Kroki podejmowane w celu zakazu samochodów spalinowych są zdecydowanie na czasie.;0.3
Wprowadzenie zakazu spalinówek pomoże zmniejszyć hałas w miastach, poprawiając jakość życia.;0.3
Zakaz samochodów spalinowych to kwestia czasu, ale powinno się to wprowadzać stopniowo.;0.3
To logiczne że trzeba wprowadzić zakaz samochodów spalinowych, prędzej czy później to musi nastąpić, ale z sensem.;0.3
Jestem pro-ekologiczny ale nie jestem pewny czy władze Unii Europejskiej wprowadzą ten zakaz sensownie.;0.3
Promowanie samochodów elektrycznych to najlepszy sposób, by ograniczyć zanieczyszczenie powietrza.;0.3
Należy dążyć do zakazu nieekologicznych samochodów spalinowych rujnujących nasz klimat, ale nie z dnia na dzień.;0.4
Elektryczność to rozwiązanie na przyszłość, a do zakazu spalinówek powinniśmy dążyć globalnie.;0.4
Unia Europejska dobrze robi wprowadzając do dyskusji temat zakazu samochodów spalinowych.;0.4
Silniki spalinowe strasznie psują klimat i jakość powietrza.;0.5
W XXI wieku powinniśmy naprawdę mocno zainteresować się tematem samochodów spalinowych i ich zakazem.;0.5
Zakaz samochodów spalinowych to świetna decyzja dla zdrowia publicznego i środowiska.;0.6
Ziemia jest jedna, powinniśmy o nią dbać, a zakaz samochodów spalinowych to nie jest straszna rzecz a może nam pomóc uratować klimat.;0.6
