statement;score
Obowiązkowa służba wojskowa to nienawistny przymus, który ogranicza wolność osobistą obywateli.;-1
Nikt nie powinien być zmuszany do służby wojskowej, to jest absolutnie sprzeczne z wolnością jednostki.;-1
Obowiązkowa służba wojskowa to absolutny przeżytek, nie ma miejsca na przymus w cywilizowanym społeczeństwie.;-1
Zamiast zmuszać ludzi do służby wojskowej, należy zainwestować w profesjonalne wojsko i służbę zawodową.;-1
Przymusowa służba wojskowa to niewolnictwo XXI wieku. Wolność osobista powinna być ważniejsza niż kaprysy polityków.;-1
Obowiązkowa służba wojskowa jest niepotrzebnym przymusem, który tylko marnuje czas młodych ludzi.;-0.9
Obowiązkowa służba wojskowa to archaiczny pomysł, który nie ma sensu w dzisiejszym świecie.;-0.9
Obowiązkowa służba wojskowa to relikt przeszłości. Nowoczesne armie opierają się na technologii, nie na masowej sile.;-0.9
Nie wszyscy nadają się do wojska. Zmuszanie każdego do służby to absurd.;-0.9
Służba wojskowa powinna być dobrowolona a nie przymusem, bo nie każdy widzi się jako wojskowy. Nie każdy się też nadaje.;-0.9
W XXI wieku pomysł obowiązkowej służby wojskowej jest bez sensu, bo wojny dzisiaj a sprzed lat toczone są zupełnie inaczej i nie chodzi w nich przecież o natarcie jak największą liczbą żołnierzy.;-0.9
Powinniśmy całkowicie zrezygnować z obowiązkowej służby wojskowej, by nie ograniczać wolności obywateli.;-0.8
Państwo powinno zachęcać, a nie zmuszać. Lepiej zaoferować dobre zarobki i benefity, żeby ludzie chcieli iść do wojska.;-0.8
Mamy inne formy służby dla kraju – wolontariat, pomoc społeczna, edukacja. Nie każdy musi iść do wojska, żeby być patriotą.;-0.8
To nie jest sprawiedliwe, że niektórzy muszą służyć, a inni nie, bez jasnych kryteriów.;-0.8
Obowiązkowa służba wojskowa to jest wytarganie młodym cennego okresu życia, który mogą poświęcić na naukę czy rozwój kariery.;-0.8
Obowiązek odbycia służby wojskowej jest po prostu niesprawiedliwy i nieskuteczny pod kątem jakościowym wojska.;-0.8
Obowiązkowa służba wojskowa może prowadzić do nadużyć w stosunku do obywateli i naruszać ich wolność wyboru.;-0.7
Powinniśmy zrezygnować z obowiązkowej służby wojskowej, bo jest to przeżytek przeszłości.;-0.7
Obowiązkowa służba wojskowa ogranicza wolność jednostki i nie powinna być wymuszana.;-0.7
Zmuszanie młodych ludzi do służby w wojsku to zabieranie im roku z życia i opóźnianie kariery. To niesprawiedliwe.;-0.7
Zamiast przymusu, lepiej skupić się na budowaniu pozytywnego wizerunku wojska i zachęcaniu do służby.;-0.7
Zamiast przymusu, lepiej wspierać organizacje proobronne i edukację obywatelską.;-0.7
Obowiązkowa słuzba wojskowa już w Polsce kiedyś funkcjonowała i wiele ludzi przez nią ucierpiało i zostało skrzywdzonych psychicznie.;-0.7
Wojny dzisiaj nie są prowadzone masą żołnierzy i mięsem armatnim. Kluczowe są technologie i przeszkoleni specjaliści.;-0.7
Obowiązkowa służba wojskowa jest archaizmem, który tylko zniechęca ludzi do służby w armii.;-0.6
Zamiast obowiązkowej służby wojskowej, warto promować profesjonalizm w armii, który przyciąga ludzi z pasją i motywacją.;-0.6
Ludzie powinni mieć wolność wyboru, czy chcą służyć w wojsku, czy nie, zamiast być do tego zmuszani.;-0.6
Obowiązkowa służba wojskowa jest kosztowna i niepotrzebna w dobie nowoczesnych armii opartych na technologii.;-0.6
Obowiązkowa służba wojskowa jest przestarzała i niepotrzebna w dobie nowoczesnych technologii obronnych.;-0.6
Obowiązkowa służba prowadzi do frustracji i braku motywacji wśród żołnierzy, co obniża jakość armii.;-0.6
W dzisiejszej armii potrzebni są specjaliści od nowoczesnych technologii, a nie masa poborowych.;-0.6
Wiele osób po prostu nie nadaje się do służby wojskowej, z różnych powodów. Zmuszanie ich do tego nie ma sensu.;-0.6
Obowiązkowa służba wojskowa nie działa i jest polem do nadużywania władzy przez wojskowych z wyższym stopniem.;-0.6
Przez obowiązek służby wojskowej ludzie będą uciekali z kraju lub będą kombinowali aby nie musieć jej odbywać.;-0.6
Obowiązkowa służba wojskowa to zbędny przymus, który można zastąpić dobrowolnym systemem służby.;-0.5
Służba wojskowa powinna być dobrowolna, ponieważ nie każdy człowiek czuje się powołany do takiej służby.;-0.5
Obowiązkowa służba wojskowa nie jest konieczna, bo mamy profesjonalne wojsko, które wykonuje swoje zadania bez konieczności angażowania cywilów.;-0.5
Nie mam nic przeciwko wojsku, ale wolę decydować o tym, co robię ze swoim życiem.;-0.5
W krajach z armią zawodową poziom wyszkolenia jest wyższy. To do tego powinniśmy dążyć, a nie obowiązku odbywania służby.;-0.5
Obowiązkowe szkolenie wojskowe – może nie najgorszy pomysł. Ale odbywanie służby i porzucenie swojego życia na kilka miesięcy wykluczone.;-0.4
Obowiązkowa służba wojskowa jak zwykle uderzy w mężczyzn i w ich prawa. Kobiety nie będą musiały odbywać służby, a to jest nieuczciwe. To fatalny i nierówny pomysł.;-0.4
Zamiast zmuszać, lepiej zachęcać młodych ludzi do dobrowolnej służby, oferując im atrakcyjne warunki.;-0.4
Wojsko może dać dobre doświadczenie, ale nie każdemu jest to potrzebne. Powinien być wybór, a nie przymus.;-0.4
Wojsko mogłoby mieć różne ścieżki – dla tych, którzy chcą być żołnierzami i dla tych, którzy woleliby służyć w inny sposób, np. w cyberbezpieczeństwie.;-0.3
Gdyby obowiązkowa służba wojskowa była dobrze zaprojektowana i nie wyglądała jak przymusowe zamykanie młodych ludzi, może miałaby sens.;-0.3
Nie popieram obowiązkowej służby wojskowej, ale co innego krótkie szkolenia i ćwiczenia.;-0.2
Nie mam nic przeciwko wojsku, ale czy na pewno obowiązkowa służba to najlepszy sposób na zwiększenie bezpieczeństwa kraju?;-0.2
Zamiast obowiązkowej służby wojskowej, lepiej stworzyć system dobrowolny z większymi zachętami do służby w wojsku.;-0.1
Nie jestem za obowiązkowym wojskiem, ale nie uważam też, że to całkowicie zły pomysł. Może krótsza wersja byłaby lepszym rozwiązaniem.;-0.1
Z jednej strony obrona kraju jest ważna, ale z drugiej – przymus może przynieść więcej szkody niż pożytku. Może lepszym rozwiązaniem byłoby szkolenie ochotnicze.;0
Obowiązkowa służba wojskowa to trudny temat. Widzę zarówno plusy, jak i minusy. Wszystko zależy od tego, jak zostałaby wprowadzona.;0
Obowiązkowa służba wojskowa nie powinna dotyczyć wszystkich, ponieważ nie każdy chce służyć w wojsku.;0.1
Służba wojskowa to świetny pomysł i przeżycie, ale nie powinna być obowiązkowa dla każdego obywatela.;0.1
Jeśli faktycznie miałaby wrócić obowiązkowa służba, to powinna być dobrze zaplanowana – krótsza, nowoczesna, dostosowana do różnych ludzi.;0.1
Niech każdy przejdzie przynajmniej podstawowe szkolenie wojskowe. Jakieś minimum przygotowania powinno być.;0.2
Podczas służby i szkoleń ludzie nauczyliby się przetrwania, pierwszej pomocy i innych ważnych umiejętności które mogą pomóc na czas kryzysu.;0.2
Służba wojskowa to także nauka wielu przydatnych umiejętności.;0.2
Nie każdy chce iść do wojska, ale może można by wprowadzić jakieś zachęty dla tych, którzy się zdecydują - różne benefity, ulgi, zniżki.;0.2
Służba wojskowa jest ważna, ale można rozważyć alternatywne formy służby, które nie będą tak obciążające.;0.3
Służba wojskowa w młodym wieku pomaga w kształtowaniu cech przywódczych i odpowiedzialności.;0.3
Obowiązkowa służba wojskowa jest wartościowym doświadczeniem, ale nie powinna być wymuszona na każdym obywatelu.;0.3
Wspólna służba wojskowa zbliża ludzi do siebie i uczy współpracy w trudnych sytuacjach.;0.3
Obowiązkowa służba wojskowa to również edukacja z zakresu samoprzetrwania, improwizacji, zdobywania pożywienia i wiele więcej.;0.3
Wprowadzenie obowiązkowej służby wojskowej wzmacnia poczucie obowiązku wobec ojczyzny, ale nie powinno to być narzucone siłą.;0.4
Obowiązkowa służba wojskowa może być dobrą okazją do rozwoju osobistego, jednak nie powinna być przymusem.;0.4
Można połączyć obowiązkową służbę wojskową z nowoczesnym podejściem – szkolenia online, kursy samoobrony, obowiązkowy obóz wojskowy.;0.4
Obowiązkowa służba wojskowa okej, ale pod warunkiem że kobiety też zostaną tym objęte.;0.4
