statement;score
Fatalna propozycja, społeczeństwo się starzeje a my cały czas dajemy pieniądze seniorom.;-1
Kolejne rozdawnictwo, które tylko pogłębi problemy budżetu i napędzi inflację! Zamiast dawać pieniądze na lewo i prawo, rząd powinien skupić się na realnych reformach systemu emerytalnego, a nie dokładać kolejne łatki do tego dziurawego worka.;-1
Nie stać nas jako kraju na takie prezenty dla wybranych grup. Już mamy 13-tki, 14-tki, darmowe leki, a teraz jeszcze renta wdowia? Za chwilę wszyscy będziemy biedni, bo dług publiczny będzie niewyobrażalnie wielki.;-1
To jest jawne kupowanie głosów przed wyborami. Nie mamy pieniędzy na podstawowe potrzeby, służba zdrowia się wali, edukacja kuleje, a my wymyślamy kolejne rozdawnictwo.;-1
Sądzę że powinno się zreformować ZUS i system emerytalny a nie rozdawać pieniądze.;-1
Uważam, że to niesprawiedliwe obciążenie dla młodszych pokoleń, które już teraz muszą łożyć na utrzymanie coraz większej liczby emerytów.;-1
Nie jestem za jeszcze większym pobieraniem pieniędzy od podatników i przeznaczaniem ich na innych ludzi. To są moje pieniądze.;-1
Emerytom i wdowom niech pomagają dzieci, a nie państwo z pieniędzy obywateli.;-1
Nonstop zabierane są pieniądze obywatelom przez podatki i tworzone są kolejne świadczenia, te koszta dalej rosną a szans na poprawę budżetu brak.;-1
Renta wdowia to typowy przykład kupowania głosów wyborców kosztem przyszłych pokoleń. Zamiast myśleć długoterminowo i budować stabilny system, politycy wolą rozdawać pieniądze.;-0.9
Ten pomysł z rentą wdowią jest kompletnie oderwany od realiów budżetowych. Zadłużamy kraj na potęgę, a tu kolejny program socjalny, który ma kupić głosy emerytów.;-0.9
Już teraz mamy wiele dodatkowych świadczeń dla emerytów, takich jak trzynaste i czternaste emerytury oraz darmowe leki dla seniorów. Czy naprawdę stać nas na kolejne, tak kosztowne rozwiązanie, jakim jest renta wdowia.;-0.9
System emerytalny jest nierentowny i źle zaprojektowany i zamiast go naprawić to rząd wprowadza nowe świadczenia. Bez sensu.;-0.9
Zamiast tworzyć nowe programy socjalne, może lepiej zadbać o to, żeby ZUS nie był bankrutem.;-0.9
Nie rozumiem sensu tego projektu, bo to tak jakby zakładał że inni ludzie nie porzebują pomocy. Co z innymi emerytami, co z młodymi ludźmi, co z młodymi rodzinami. Gdzie jest pomoc dla nich?;-0.9
Zamiast tworzyć nowe świadczenia, może lepiej zadbać o to, żeby emerytury były godne.;-0.8
Renta wdowia to typowe rozwiązanie, które tworzy podziały - bo dlaczego akurat ta grupa ma być uprzywilejowana. A co z samotnymi od zawsze emerytami, którzy nigdy nie byli w związku małżeńskim.;-0.8
Obawiam się, że renta wdowia może być niesprawiedliwa dla osób, które wcześnie owdowiały i ponownie założyły rodzinę, a ich sytuacja finansowa jest trudna.;-0.8
Uważam, że zamiast wprowadzać kolejne specjalne świadczenia, powinniśmy dążyć do tego, aby wszyscy emeryci mieli godne i wystarczające świadczenia podstawowe.;-0.8
Ten pomysł z rentą wdowią to typowe działanie pod publikę, które ma przynieść szybkie polityczne korzyści, a nie rozwiązać realne problemy.;-0.8
Nie mamy pieniędzy na podstawowe potrzeby państwa, a tu kolejny pomysł na rozdawnictwo.;-0.8
Uważam, że zamiast wprowadzać rentę wdowią, państwo powinno skupić się na tworzeniu lepszych warunków życia dla wszystkich emerytów, na przykład poprzez poprawę opieki zdrowotnej.;-0.8
Renta wdowia to typowe rozwiązanie, które dzieli społeczeństwo i tworzy grupy uprzywilejowane. Dlaczego akurat wdowy i wdowcy mają dostawać dodatkowe pieniądze, a inni emeryci, często w jeszcze gorszej sytuacji, już nie.;-0.7
Uważam, że zamiast renty wdowiej powinniśmy skupić się na walce z inflacją, która najbardziej uderza w portfele emerytów.;-0.7
Renta wdowia to kolejny program socjalny, który tylko pogłębi problemy budżetu.;-0.7
Zamiast wprowadzać rentę wdowią, może lepiej pomyśleć o realnych ulgach dla wszystkich seniorów.;-0.7
Martwię się, że kryteria przyznawania renty wdowiej będą tak skonstruowane, że wielu naprawdę potrzebujących seniorów i tak nie będzie mogło z niej skorzystać. Wtedy cały ten pomysł okaże się nieskuteczny i rozczarowujący.;-0.7
Renta wdowia to rozwiązanie chwilowe, a produkty w sklepach dalej będą drogie i kolejki do lekarza wciąż długie.;-0.6
Renta wdowia w proponowanym kształcie jest niesprawiedliwa - obejmie tylko nielicznych, a wielu potrzebujących zostanie bez wsparcia.;-0.6
Martwię się, że renta wdowia może prowadzić do podziałów w społeczeństwie emerytów, tworząc grupę uprzywilejowaną kosztem innych.;-0.6
Myślę że zamiast renty wdowiej powinniśmy inwestować w programy wsparcia dla seniorów w miejscu zamieszkania, takie jak opieka domowa czy usługi asystenckie.;-0.6
Prawdziwy problem to niskie emerytury i drogie koszty życia dla wszystkich seniorów.;-0.6
Zamiast wprowadzać rentę wdowią, może lepiej pomyśleć o systemowych rozwiązaniach, które pomogą wszystkim seniorom? Ulgi podatkowe, tańsze leki, dostępna opieka medyczna.;-0.5
Ten pomysł może i brzmi pięknie, ale jest kompletnie nieodpowiedzialny finansowo. Już teraz mamy ogromny deficyt, a tu kolejny program, który będzie kosztował miliardy.;-0.5
Martwię się, że renta wdowia może prowadzić do nadużyć i prób wyłudzenia świadczeń.;-0.5
Renta wdowia w proponowanej formie jest zbyt skomplikowana i będzie generować masę biurokracji.;-0.4
Uważam, że lepszym rozwiązaniem byłoby wprowadzenie ulg i zniżek dla samotnych seniorów, na przykład w opłatach za mieszkanie, transport publiczny czy kulturę.;-0.4
Uważam, że zamiast renty wdowiej powinniśmy wspierać aktywność zawodową seniorów, którzy chcą i mogą pracować.;-0.4
Zawsze jestem za pomocą starcom i emerytom, zwłaszcza wdowom i wdowcom, ale w tym momencie na pewno nie, mamy wiele innych problemów.;-0.4
Uważam, że system rent rodzinnych już istnieje i powinien być po prostu lepiej dostosowany do potrzeb samotnych seniorów, na przykład poprzez zwiększenie wysokości świadczenia.;-0.3
Martwię się, że renta wdowia to kolejny dowód na brak długofalowej i spójnej wizji polityki społecznej państwa.;-0.3
Renta wdowia to szczodry projekt i na pewno pomocny, ale nie uważam aby to był najlepszy czas na to.;-0.3
Pomoc emerytom to dobry pomysł, ale nie przy naszej ciężkiej sytuacji i takiej dziurze budżetowej.;-0.3
Uważam, że to rozwiązanie jest zbyt selektywne i nie uwzględnia sytuacji wielu innych osób, które również potrzebują wsparcia finansowego na starość.;-0.2
Program renty wdowiej jest strasznie niesprawiedliwy bo wyklucza niektórych wdowców i wdowy oraz seniorów którzy zawsze byli samotni. Należy pomóc wszystkim albo wcale.;-0.2
Żal mi starych ludzi ale mają już wiele pakietów pomocowych i innych świadczeń np. trzynastki i czternastki.;0
To dobre rozwiązanie, ale pytanie – skąd na to pieniądze? Jeśli to obciąży młodszych, to może lepiej znaleźć inne rozwiązanie.;0.1
Wdowy i wdowcy są w trudnej sytuacji, ale może lepiej byłoby wprowadzić jakieś dofinansowania zamiast gotówki.;0.2
Może zamiast samej renty wdowiej warto wprowadzić ulgi i zniżki na opłaty. Może jakieś bony czy pakiety pomocowe.;0.3
Państwo powinno wspierać osoby samotne, ale system powinien być dobrze przemyślany, żeby nie rozdawać pieniędzy tym, którzy ich nie potrzebują.;0.3
Wiadomo że to kolejne koszta dla państwa i podatników ale starsi ludzie potrzebują troski i pomocy.;0.4
Może warto, ale nie na stałe. Niech to będzie wsparcie przez kilka lat po stracie małżonka, a nie do końca życia.;0.4
Może zamiast renty wdowiej która ma być rozszerzeniem emerytury i renty rodzinnej to wprowadzić jakąś rentę po śmierci małżonka, albo okresową na jakiś czas.;0.4
Taka pomoc na pewno powinna być uzależniona od poziomu dochodów, a nie dostępna dla wszystkich.;0.5
Taka pomoc jest ważna, ale trzeba to zrobić mądrze, bo jak będzie źle skonstruowane, to mogą na tym skorzystać ci, którzy wcale nie są w potrzebie.;0.5
Niech to obowiązuje tylko dla osób o najniższych dochodach. Nie każda wdowa czy wdowiec jest w biedzie.;0.5
Jeśli już mamy coś dawać, to tylko osobom w największej potrzebie, a nie każdemu.;0.5
Wystarczy spojrzeć na ceny leków i jedzenia – wdowy i wdowcy często nie mają jak sobie poradzić finansowo;0.6
Wzrost cen i kosztów życia szczególnie dotyka samotnych emerytów, renta wdowia może im pomóc.;0.6
To ważne, aby samotni seniorzy mieli poczucie, że państwo o nich pamięta i dba o ich dobrostan.;0.6
Chciałbym aby ta renta była dostępna jedynie dla najbiedniejszych i najbardziej potrzebujących żeby nie był to za duży koszt dla państwa.;0.6
Oczywiście, można by wymyślić inne sposoby wsparcia wdów i wdowców, ale renta wdowia to rozwiązanie proste, przejrzyste i stosunkowo łatwe do wprowadzenia. Zamiast kolejnych lat dyskusji, potrzebujemy realnej pomocy już teraz.;0.6
Cywilizowane i nowoczesne państwo to takie, w którym nikt nie zostaje na lodzie i bez niczego. Musimy dbać o wszystkich.;0.6
Renta rodzinna, choć istnieje, często nie jest wystarczająca, by samotny emeryt mógł utrzymać dotychczasowy standard życia.;0.6
Renta rodzinna nie wystarcza – wdowa czy wdowiec i tak traci dużą część dochodu po śmierci małżonka.;0.7
Mamy pieniądze na różne inne rzeczy i głupoty więc na pomoc seniorom też się znajdą.;0.7
Śmierć współmałżonka to nie tylko tragedia emocjonalna, ale też finansowa katastrofa dla wielu starszych osób.;0.7
Ta renta nie rozwiąże wszystkich problemów, ale może znacząco poprawić sytuację finansową wielu seniorów, którzy po śmierci współmałżonka balansują na granicy ubóstwa.;0.7
Renta wdowia to rozwiązanie, które funkcjonuje w wielu krajach europejskich, bo zostało sprawdzone i działa.;0.7
To lepsze rozwiązanie niż jednorazowe dodatki, bo zapewnia stałe wsparcie.;0.7
To ważne, aby samotni seniorzy mieli możliwość aktywnego uczestniczenia w życiu społecznym i kulturalnym, a brak pieniędzy nie stanowił dla nich bariery.;0.7
To nie żadne rozdawnictwo, tylko pomoc dla ludzi, którzy całe życie pracowali i teraz nie mogą związać końca z końcem.;0.8
Renta wdowia to absolutna konieczność dla osób, które zostały same po śmierci współmałżonka i muszą z jednej emerytury opłacić wszystkie rachunki, które wcześniej płacili we dwoje.;0.8
Renta wdowia to uczciwe rozwiązanie, bo przecież małżonkowie razem pracowali na swoje emerytury, razem budowali majątek, a gdy jedno umiera, drugie zostaje z połową dochodów przy prawie tych samych wydatkach.;0.8
Wprowadzenie renty wdowiej to nie tylko pomoc finansowa, ale też ważny sygnał, że państwo dostrzega problemy osób starszych i samotnych.;0.8
Jesteśmy nowoczesnym państwem w XXI wieku, emeryci zasługują na pomoc i godne życie.;0.8
Ilu emerytów żyje w biedzie ledwo wiążąc koniec z końcem? Należy im pomóc.;0.8
Coraz więcej krajów europejskich wprowadza podobne rozwiązania, bo dostrzegają problem samotnych seniorów. Polska nie powinna zostawać w tyle - renta wdowia to inwestycja w godne życie osób starszych, które zostały same.;0.8
Popieram pomysł pomocy emerytom i wdowom bo oni potrzebują tych pieniędzy.;0.8
Wzrost cen leków, żywności i energii najbardziej dotyka osoby starsze z niskimi emeryturami. Renta wdowia może stanowić realną pomoc w pokryciu podstawowych potrzeb.;0.8
Samotni emeryci często mają ograniczone możliwości dorobienia do emerytury ze względu na wiek i stan zdrowia. Renta wdowia może stanowić dla nich jedyne dodatkowe źródło dochodu.;0.8
Renta wdowia może zmniejszyć obciążenie dla rodzin, które często muszą wspierać finansowo swoich samotnych rodziców lub dziadków.;0.8
Samotna starsza osoba jest w znacznie gorszej sytuacji niż dwoje seniorów. Dlaczego państwo ma udawać, że tego problemu nie ma.;0.9
Starsi ludzie potrzebują pomocy bo w ceny wszystkiego idą w górę. Poza tym renta wdowia obejmie tylko tych najbiedniejszych i samotnych, to nie będzie duży koszt.;0.9
Renta wdowia to nie żaden luksus, tylko niezbędne minimum dla godnego życia osób starszych, które zostały same.;0.9
