statement;score
Państwo nie umie zarządzać finansami – lepiej, żeby ludzie sami decydowali o swojej przyszłości.;-1
ZUS to bankrut – prędzej czy później i tak padnie, a my zostaniemy z niczym.;-1
ZUSowi już brakuje pieniędzy a dopłaty do niego są ogromne. Ciekawe kto będzie płacił na emerytury obecnych młodych ludzi gdy oni się zestarzeją.;-1
Ludzie muszą brać odpowiedzialność za swoją przyszłość, a nie liczyć na państwo.;-1
Państwo nie ma pieniędzy – ma tylko nasze podatki. Lepiej, żebyśmy trzymali je we własnych rękach.;-1
Chcę sam decydować, gdzie inwestuję moje pieniądze na emeryturę.;-1
Ludzie nie są idiotami i potrafią zadbać o swoją przyszłość, a jeśli ktoś nie potrafi, to znaczy że nie ma minimum inteligencji i to jego problem.;-1
ZUS to największa piramida finansowa w Polsce, która już dawno by się zawaliła, gdyby nie była sztucznie podtrzymywana z naszych podatków.;-1
Państwowe emerytury to mit, w który wierzą tylko naiwni. Mądrzy ludzie sami zabezpieczają swoją przyszłość.;-1
Wolny rynek to konkurencja, a konkurencja poprawia jakość usług. ZUS to skansen PRL.;-0.9
ZUS to piramida finansowa – więcej wpłacasz, niż kiedykolwiek dostaniesz.;-0.9
ZUS nie przetrwa następnych lat bo jest niewydolny i nierentowny.;-0.9
ZUS to moloch, biurokracja i zero dbałości o obywatela.;-0.9
Ludzie aktualnie płacą ogromne składki a jak przychodzi co do czego to zasiłki i emerytury są okropnie niskie.;-0.9
Prywatne emerytury to krok w stronę wolności gospodarczej i indywidualnej odpowiedzialności.;-0.9
ZUS to relikt komunizmu, który powinien zostać zlikwidowany. W normalnym kraju każdy człowiek sam decyduje o swoich pieniądzach i swojej przyszłości.;-0.9
Prywatne emerytury to podstawa w krajach o wysokim standardzie życia. Wystarczy spojrzeć na Szwajcarów, Holendów czy Singapur.;-0.9
Dlaczego mam ufać, że ZUS da mi emeryturę za 30 lat, skoro co chwilę słyszę o jego problemach finansowych?;-0.9
Obecni emeryci dostają grosze, a młodzi nie dostaną nic. To się nie spina.;-0.8
Państwowy monopol to zawsze zła opcja – prywatne firmy rywalizowałyby o klientów, podnosząc jakość usług.;-0.8
Nie każdy ufa państwu – prywatne fundusze mogą być bardziej transparentne.;-0.8
Przy obecnym systemie każdy i tak musi odkładać prywatnie, bo ZUS nie wystarczy.;-0.8
Prywatne firmy by lepiej zarządzały tymi pieniędzmi i emerytury byłyby wyższe.;-0.8
Prywatne firmy oferują różne strategie inwestycyjne, można wybrać coś dla siebie.;-0.8
Państwowe emerytury to ryzyko politycznych decyzji, które mogą pogorszyć sytuację emerytów.;-0.8
Prywatne emerytury to większa pewność, że moje pieniądze są bezpieczne.;-0.8
Kiedy patrzę na moją pensję i widzę, ile zabiera mi ZUS, czuję się okradany. Za te same pieniądze mógłbym zapewnić sobie dużo wyższą emeryturę prywatnie.;-0.8
Uwolnijmy ludzi od przymusu składek państwowych. Każdy powinien mieć prawo wyboru, gdzie lokuje swoje oszczędności emerytalne.;-0.8
Żaden system oparty na zasadzie młodzi płacą na starych nie przetrwa w starzejącym się społeczeństwie. ZUS to tykająca bomba demograficzna.;-0.8
Państwowy system emerytalny to iluzja bezpieczeństwa. W rzeczywistości uzależnia obywateli od państwa.;-0.8
Problem z ZUS-em polega na tym, że politycy mogą w każdej chwili zmienić zasady gry. Z prywatnym funduszem masz umowę, której nikt nie może jednostronnie zmienić.;-0.8
ZUS to największe oszustwo naszych czasów. Zmuszają nas do wpłat, obiecują emeryturę, a potem zmieniają zasady w trakcie gry.;-0.8
W ZUS-ie moje pieniądze znikają, w prywatnym systemie przynajmniej mogę nimi zarządzać.;-0.7
Państwowe emerytury są śmiesznie niskie, wielu starszym ludziom ledwo starcza na życie.;-0.7
ZUS to system oparty na obietnicach, które mogą nie zostać spełnione.;-0.7
ZUS to moloch, który zatrudnia tysiące urzędników, a i tak działa opieszale i nieefektywnie. Prywatne firmy są dużo sprawniejsze.;-0.7
Nie można robić z ludzi niewolników i trzeba dać im możliwość wyboru.;-0.6
Państwowa emerytura to fikcja, moi rodzice płacili składki całe życie, a teraz dostają grosze.;-0.6
ZUS wypłaca dziś emerytury z pieniędzy, które wpłacają obecnie pracujący. To nie jest system emerytalny, to piramida finansowa.;-0.6
Państwowe świadczenia są nieefektywne, bo przy nich trzeba jeszcze opłacać masę urzędników.;-0.6
Składki są ogromne, a wypłaty słabe, i emerytury i zasiłki są niskie.;-0.6
Wolę mieć kontrolę nad moją przyszłością finansową.;-0.5
Uwolnijmy obywateli od monopolu państwowych emerytur i świadczeń i pozwólmy ludziom wybierać też spośród prywatnych spółek.;-0.4
Państwowy system można by reformować, ale pełna prywatyzacja daje więcej opcji.;-0.3
Dobrowolność to podstawa – niech każdy sam decyduje, czy chce być w państwowym systemie, czy w prywatnym funduszu.;-0.3
Każdy powinien mieć prawo wyboru.;-0.3
Raczej jestem za prywatyzacją ale stopniową i z uświadamianiem ludzi.;-0.3
Może nie prywatyzacja samego ZUSu, ale oddanie ludziom więcej swobody i możliwości wyboru by mogli decydować w jakim systemie chcą być.;-0.3
Nawet jeśli państwo musi dawać minimalną emeryturę, reszta powinna być w rękach obywateli.;-0.2
Zamiast reformować niewydolny ZUS, lepiej dać ludziom wybór: zostań w ZUS albo przejdź do prywatnego funduszu.;-0.2
Jeśli ZUSu nie da się zreformować ani naprawić to trzeba sprywatyzować ten obszar, bo to wszystko w końcu się rozpadnie.;-0.2
Nie jestem radykalnym zwolennikiem prywatyzacji, ale na pewno potrzebujemy więcej wolności w wyborze.;-0.1
Nie popieram prywatnych świadczeń emerytalnych i socjalnych ale nasz aktualny system jest niewydolny i działa źle.;-0.1
Nie widzę problemu w łączeniu emerytur państwowych i prywatnych, ludzie po prostu muszą dostać więcej opcji i powinni móc wybrać.;-0.1
Nie jestem zwolennikiem prywatyzacji ale nie podoba mi się jak aktualnie wyglądają państwowe świadczenia i ZUS.;0
Nasz aktualny system nie jest zły, ale wymaga zmian i poprawek.;0
Moglibyśmy łączyć system – trochę publicznego, trochę prywatnego. Ale całkowita prywatyzacja to zbyt duże ryzyko.;0.1
Skandynawskie systemy emerytalne, które łączą państwową bazę z dodatkami, sprawdzają się najlepiej na świecie. Powinniśmy brać z nich przykład.;0.2
Mimo wad system publiczny jest odporniejszy na kryzysy niż prywatne fundusze emerytalne.;0.3
ZUS, pomimo problemów, jest systemem zaufania publicznego.;0.3
ZUS, z wszystkimi swoimi wadami, jest lepszy niż brak jakiegokolwiek zabezpieczenia.;0.3
Reformować ZUS – tak, likwidować – nie. Wystarczy go dobrze zarządzać.;0.3
Publiczne emerytury to część umowy społecznej – my płacimy podatki, a państwo zapewnia nam bezpieczeństwo na starość.;0.4
Jakby każdy sam miał oszczędzać, to wielu by się zagapiło i nic nie miałoby na starość.;0.4
ZUS ma prostsze zasady, łatwiej się w tym połapać niż w milionie ofert.;0.4
ZUS może nie działa idealnie, ale przynajmniej każdy dostaje jakąś emeryturę, a nie jak na giełdzie – dziś masz, jutro nie.;0.4
Zamiast utrzymywać niewydolny ZUS, dajmy ludziom ulgi podatkowe na prywatne oszczędności emerytalne. To działa w wielu krajach.;0.4
Krytykowanie ZUS-u jest łatwe, ale chciałbym zobaczyć kraj, w którym prywatne emerytury działają idealnie. Wszędzie są problemy, bo demografii nie oszukasz.;0.5
Publiczny system emerytalny to nie tylko wypłaty, ale też gwarancja, że nikt nie zostanie bez środków do życia na starość.;0.5
Obawiam się o to czy aby na pewno każdy będzie miał tyle pomyślunku żeby odkładać pieniądze na starość bez państwowych świadczeń. Bo jeśli nie, to zostanie skazany na śmierć.;0.5
Kapitalizm nie rozwiązuje wszystkiego – społeczeństwo musi dbać o swoich najstarszych.;0.5
Każdy powinien mieć minimalne zabezpieczenie od państwa, nawet jeśli potem sam chce inwestować.;0.5
Państwowy system może i nie jest idealny, ale za to jest transparentny i kontrolowany demokratycznie, a nie przez bankierów.;0.6
Państwowy system jest jaki jest, ale przynajmniej gwarantuje bezpieczeństwo.;0.6
Gdyby nie publiczny system, wielu ludzi zostałoby bez grosza, bo nie każdy potrafi oszczędzać.;0.6
Nie każdy ma czas i wiedzę, by samemu zarządzać emeryturą. Państwo zapewnia to za nas.;0.6
System prywatny oznacza chaos – ludzie nie wiedzieliby, komu ufać.;0.6
ZUS ma swoje problemy, ale przynajmniej wiem, że moja emerytura jest gwarantowana przez państwo. Kto zagwarantuje mi wypłatę z prywatnego funduszu za 30 lat?;0.7
Może publiczne świadczenia emerytalne nie są najlepsze, ale przynajmniej odznaczają się większym bezpieczeństwem i jestem spokojniejszy o emeryturę za wiele lat.;0.7
Prywatyzacja emerytur to pomysł, który wyciąga pieniądze z kieszeni zwykłych ludzi i wkłada je do kieszeni bogaczy.;0.7
Prawda jest taka, że większość Polaków nie ma nadwyżek finansowych, żeby samodzielnie odkładać na starość. ZUS to dla nich jedyna szansa na emeryturę.;0.7
Bezpieczeństwo socjalne obywateli to obowiązek państwa, a nie pole do zarabiania dla prywatnych firm.;0.7
Państwowy system to mniejsze ryzyko, bo wpłaty i składki rozłożone są na miliony ludzi.;0.7
Emerytury z ZUS są bardziej przewidywalne na dłuższą metę.;0.7
ZUS to system, który działa od lat, ma swoje doświadczenie.;0.7
Składki do ZUS-u to nie tylko nasze emerytury, ale też renty dla chorych i niepełnosprawnych. Ci ludzie nie mogą zostać bez wsparcia.;0.8
W państwowym systemie ryzyko jest rozłożone na wszystkich obywateli, a w prywatnym – każdy ryzykuje na własną rękę. Świadczenia państwowe to większe bezpieczeństwo.;0.8
W kapitalizm wpisane są kryzysy, które mogą zniszczyć oszczędności całego życia. Tylko państwowe emerytury dają ochronę przed tym ryzykiem.;0.8
Jak ktoś ma pecha i straci oszczędności, to co wtedy? ZUS go nie zostawi na lodzie.;0.8
Emerytury to zbyt ważna sprawa, żeby oddawać ją w ręce prywatnych podmiotów.;0.8
ZUS jest bardziej odporny na kryzysy finansowe niż prywatne fundusze.;0.8
Państwowe emerytury to ochrona przed inflacją – prywatne mogą stracić na wartości.;0.8
Państwo musi gwarantować emerytury, bo człowiek pracujący całe życie zasługuje na godną starość, a nie jałmużnę.;0.9
Tylko silny, państwowy ZUS może zapewnić sprawiedliwy podział ryzyka między pokoleniami. Prywatne firmy dbają tylko o zysk, nie o sprawiedliwość.;0.9
Publiczny system emerytalny to jedyny sposób, by chronić emerytów przed inflacją i kryzysami gospodarczymi.;0.9
Jako osoba, która pamięta aferę Amber Gold, nie mam zaufania do prywatnych instytucji finansowych w Polsce. ZUS przynajmniej nie ucieknie z moimi pieniędzmi.;0.9
Próby prywatyzacji emerytur na całym świecie kończyły się katastrofą dla zwykłych ludzi. Nie powtarzajmy tych błędów w Polsce.;0.9
Mimo wszystko takie rzeczy jak emerytury i zasiłki powinny być panstwowe i wolne od prywaciarzy i walki na rynku.;0.9
Czy się to komuś podoba czy nie, dawanie ludziom wolnej ręki w aspekcie emerytur i innych zasiłków socjalnych jest zbyt niebezpieczne.;0.9
Na rynku prywatnym wygrywa bogaty, a biedny przegrywa. Emerytura to nie miejsce na dziki kapitalizm.;0.9
ZUS to jedyna gwarancja, że każdy Polak będzie miał zapewnione minimum na starość. Prywatne fundusze działają tylko dla bogatych, a co z resztą społeczeństwa?;1
ZUS to fundament polskiej polityki społecznej i bezpieczeństwa obywateli. Każda próba jego demontażu to działanie przeciwko najsłabszym grupom społecznym.;1
Wystarczy spojrzeć na USA i ich prywatne emerytury – tysiące emerytów żyjących w biedzie, bo ich oszczędności życia przepadły podczas kryzysu.;1
Tylko państwo może zagwarantować emerytury niezależnie od wahań na giełdzie czy kryzysów gospodarczych.;1
ZUS to instytucja, która zapewnia nam wszystkim minimum bezpieczeństwa. Bez niego miliony Polaków byłyby zdane tylko na siebie lub na rodzinę.;1
Emerytura to nie jest luksus, tylko prawo każdego obywatela po latach płacenia podatków. Tylko państwo może to zagwarantować.;1
ZUS to jedyny system, który zapewnia równe traktowanie wszystkich ubezpieczonych. W prywatnych funduszach liczy się tylko, ile wpłacisz.;1
Państwo ma obowiązek dbać o swoich obywateli na starość.;1
