statement;score
Rząd nie ma prawa zabierać ciężko zarobionych pieniędzy ludziom, a podatek dochodowy jest po prostu nieuczciwy i pozbawiony sensu.;1
Podatek dochodowy to czysta kradzież. Każdy obywatel powinien mieć prawo do zatrzymania tego, co zarobił, a nie oddawania tego państwu.;1
Nie rozumiem, dlaczego mamy płacić podatek dochodowy. Przecież to moje pieniądze, nie państwowe.;1
Podatek dochodowy to typowe okradanie obywateli. Uważam, że to powinno zostać zlikwidowane.;1
Idea podatku dochodowego jest absurdalna, ponieważ karany jest ciężko pracujący obywatel.;1
Podatek dochodowy to po prostu kradzież. Zabierają nam pieniądze, które ciężko zarabiamy, nie dając w zamian nic wartościowego.;0.9
Dochodowy to zwykła kradzież pieniędzy od obywatela i im niższy tym lepiej. Usługi w kraju i tak działają fatalnie.;0.9
Podatek dochodowy do inaczej kara za pracę. Obywatela powinno się nagradzać a nie karać za to że pracuje i zarabia.;0.9
Całkowita likwidacja podatku dochodowego i zastąpienie go innymi, prostszymi daninami byłoby o wiele lepsze.;0.9
Podatek dochodowy to nic innego jak okradanie obywateli. Państwo powinno stawiać na dobrowolność, a nie przymus.;0.8
Moim zdaniem podatek dochodowy to kradzież, bo państwo bierze nam część tego, co zarobiliśmy.;0.8
Podatek dochodowy to jak zabieranie ci pieniędzy na siłę, nie mam na to zgody.;0.8
Moim zdaniem podatek dochodowy to niesprawiedliwość, bo zabiera się ludziom ich pieniądze.;0.8
Im więcej pieniędzy w kieszeni obywatela tym lepiej, bo człowiek sam najlepiej wie na co wydawać swoją kasę.;0.8
Obniżenie podatku dochodowego dałoby ludziom więcej pieniędzy do wydania, co napędziłoby gospodarkę.;0.8
Podatek dochodowy to w rzeczywistości kara za to, że ktoś jest przedsiębiorczy i zarabia więcej.;0.8
Podatek dochodowy to ukryta forma kradzieży. Zatrzymuje nasze ciężko zarobione pieniądze i przeznacza je na niepotrzebne wydatki.;0.7
Uważam, że podatek dochodowy to nic innego jak okradanie ludzi z ich pieniędzy.;0.7
Podatek dochodowy powinien być niższy. Teraz jest zbyt obciążający i zniechęca ludzi do pracy.;0.7
Podatek dochodowy to dla mnie zło, które zabiera mi część tego, co wypracowałem.;0.7
Czemu mamy płacić podatek dochodowy, skoro państwo nie potrafi efektywnie wykorzystywać tych pieniędzy?;0.7
Państwo tragicznie rozporządza finansami dlatego im mniejszy podatek dochodowy tym lepiej.;0.7
Propozycja znacznego zwiększenia podatku dochodowego to zabijanie motywacji do pracy i rozwoju.;0.7
Dodatkowe obciążenia podatkowe prowadzą do wzrostu ubóstwa i niesprawiedliwości społecznej. To system, który działa na niekorzyść obywateli.;0.6
Każdy podatek dochodowy to stracony zarobek, który mógłbym wydać na coś ważniejszego.;0.6
Podatek dochodowy daje państwu zasoby, ale trzeba go zmniejszyć, by nie zabijał przedsiębiorczości i motywacji do pracy.;0.5
Podatek dochodowy to tylko część sprawiedliwości społecznej, ale nie możemy zapominać o tym, że wprowadzanie nowych podatków ogranicza rozwój gospodarki.;0.5
Podatek dochodowy to podstawa, ale należy zapewnić jego bardziej progresywny charakter, by ci, którzy zarabiają najwięcej, płacili więcej.;0.1
Podatek dochodowy to konieczność, ale równocześnie trzeba go odpowiednio obniżać, by nie obciążał nadmiernie obywateli, którzy i tak już ciężko pracują.;0
Jestem za podatkiem dochodowym, ale nie w tej formie – trzeba zmienić system i usunąć niepotrzebne luki.;-0.1
Nie mam nic przeciwko podatkowi dochodowemu, ale powinno się go obniżyć dla ludzi z niższymi zarobkami.;-0.1
Podatek dochodowy pozwala na finansowanie licznych programów społecznych, które wspierają najsłabszych. Jednak powinien być lepiej zarządzany.;-0.1
Nie podoba mi się podatek dochodowy ale wiem że musi być, bo jest z niego sporo wpływów do budżetu państwa.;-0.1
Podatek dochodowy to kradzież, no ale ma duże znaczenie dla działania państwa.;-0.1
Podatek dochodowy jest kluczowy, ale potrzeba większej przejrzystości i wydajności w jego wykorzystywaniu.;-0.2
Podatek dochodowy jest okej, ale uważam, że powinno się go płacić tylko wtedy, gdy zarabiamy naprawdę dużo.;-0.2
Podatek dochodowy jest ok, ale trzeba by go bardziej zróżnicować, bo nie każdy zarabia tyle samo.;-0.3
Chciałbym, żeby podatek dochodowy był niższy, ale nie wyobrażam sobie, żeby go całkiem zlikwidować.;-0.3
Zgadzam się, że podatek dochodowy jest potrzebny, ale powinno się go płacić w sposób sprawiedliwy.;-0.3
Jestem zwolennikiem podatku dochodowego, ale trzeba by było zoptymalizować jego wysokość, aby był bardziej sprawiedliwy i mniej obciążający dla średnio zarabiających.;-0.4
Dzięki podatkowi dochodowemu możemy mieć sprawiedliwsze społeczeństwo, w którym bogatsi płacą więcej, by wspierać biedniejszych.;-0.5
Podatek dochodowy pozwala na zapewnienie najbiedniejszym odpowiedniej pomocy finansowej. To inwestycja w solidarność społeczną.;-0.5
Płacenie podatków to sposób na dbanie o nas wszystkich, bo z tych pieniędzy finansowane są ważne rzeczy.;-0.6
Podatek dochodowy jest absolutnie niezbędny do zapewnienia równych szans wszystkim obywatelom i umożliwia redystrybucję zasobów w społeczeństwie.;-0.7
Podatek dochodowy to podstawa budżetu państwa, bez tego nie miałoby sensu żadna pomoc społeczna.;-0.8
Podatek dochodowy to fundament nowoczesnego państwa. Dzięki niemu mamy opiekę społeczną, służby publiczne, oświatę. Bez niego państwo by nie istniało.;-0.8
Pieniądze z podatku dochodowego są niezbędne do utrzymania porządku i sprawiedliwości społecznej w kraju. To daje państwu narzędzie do inwestowania w rozwój.;-0.8
Płacenie podatków to nasz obowiązek, dzięki temu kraj może działać i pomagać ludziom.;-0.8
Bez podatku dochodowego nie byłoby pieniędzy na szpitale, szkoły czy drogi, więc nie ma co narzekać.;-0.8
