statement;score
Eutanazja jest moralnie nieakceptowalna i absolutnie nie powinna mieć miejsca w żadnym społeczeństwie.;1
Legalizacja eutanazji prowadzi do osłabienia wartości życia i stawia nas na ścieżce do moralnego upadku.;1
Legalizacja eutanazji to najgorszy możliwy kierunek, który zniszczy wartości naszej cywilizacji.;1
Eutanazja jest grzechem i sprzeczna z naukami religijnymi, które uczą, że życie jest darem od Boga.;1
Zgodnie z moją wiarą, nie mamy prawa decydować o zakończeniu życia, ponieważ to tylko Bóg ma taką władzę.;1
Eutanazja to coś, co absolutnie nie powinno istnieć w żadnym społeczeństwie, nawet w przypadku osób cierpiących na choroby terminalne.;1
Eutanazja powinna być całkowicie zabroniona, bez względu na okoliczności.;1
Nie popieram eutanazji.;1
Eutanazja to zło które doprowadzi do zatracenia społeczeństwa.;1
Eutanazja to zło, które powinno być zakazane w każdym przypadku, nawet w przypadku nieuleczalnych chorób.;0.9
Eutanazja nie jest zgodna z naukami Kościoła, który uważa, że człowiek nie ma prawa do decydowania o swoim życiu i śmierci.;0.9
Legalizacja eutanazji to najgorsze możliwe rozwiązanie, które osłabia nasze społeczeństwo i moralność.;0.9
Eutanazja nie powinna być stosowana w żadnym przypadku, nawet jeśli pacjent cierpi.;0.9
Nie możemy pozwolić, by eutanazja stała się sposobem na pozbycie się osób, które nie mogą się już bronić.;0.8
Eutanazja to coś, co nie powinno mieć miejsca, nawet w przypadku osób cierpiących na choroby terminalne.;0.8
Jako osoba wierząca, nie mogę zaakceptować eutanazji, ponieważ wiara mówi, że życie ma wartość, której nie możemy odebrać.;0.8
Eutanazja w żadnym przypadku nie powinna mieć miejsca, ponieważ życie ludzkie ma nieocenioną wartość.;0.8
Eutanazja powinna być zakazana przez prawo, ponieważ stanowi zagrożenie dla fundamentalnych zasad moralnych.;0.8
Eutanazja to zło, które stanowi zagrożenie dla społeczeństwa, nie powinna być legalizowana w żadnym przypadku.;0.8
Nie popieram eutanazji, ponieważ jest to niebezpieczne narzędzie do utylizacji ludzi którzy są kulą u nogi.;0.8
Eutanazja sprawi że ludzie z czystym sumieniem będą zabijali członków własnej rodziny.;0.8
Nie możemy pozwolić na legalizację eutanazji, ponieważ otwiera to drzwi do nadużyć i samobójstw.;0.7
W krajach gdzie eutanazja jest legalna dochodzi do wielu nadużyć i ludzie są jej poddawani zbyt łatwo.;0.7
Eutanazja jest niebezpieczna bo nie wiadomo ile razy zostanie wykonana na osobie, która nie podjęła decyzji samodzielnie.;0.7
Nie ufam lekarzom i psychologom którzy byliby odpowiedzialni za rozmowy z pacjentami. Obawiam się że namawialiby ich do samobójstwa.;0.7
Sądzę że firmy chciałyby zarabiać jak najwięcej na eutanazji i byłaby ona dokonywana zbyt często i w przypadkach, gdzie nie była potrzebna.;0.6
Eutanazja nie brzmi najgorzej, ale obawiam się w ilu przypadkach będzie wykorzystana do okropnego pozbycia się drugiego człowieka.;0.5
Obawiam się co do tego jak eutanazja byłaby wykorzystywana.;0.3
Chociaż rozumiem zwolenników eutanazji, osobiście nie zgadzam się z tym rozwiązaniem.;0.2
Ogólnie nie jestem za wprowadzaniem eutanazji i jej nie popieram, ale zrozumiałbym jej legalizację w niektórych przypadkach.;0.2
Eutanazja to wybór, ale nie jestem pewien, czy powinna być dostępna dla każdego.;0
Polacy nie są gotowi na wprowadzenie eutanazji, to jeszcze nie ten czas.;0
Eutanazja powinna być dozwolona tylko w przypadku, gdy pacjent cierpi na nieuleczalną chorobę, ale nie w innych przypadkach.;-0.2
Eutanazja powinna być dostępna tylko dla osób w zaawansowanym stadium choroby, gdzie nie ma już nadziei na poprawę.;-0.2
Chociaż jestem przeciwnikiem eutanazji, w skrajnych przypadkach cierpienia można by ją rozważyć.;-0.2
Eutanazja nie jest zła, ale musimy do niej podejść powoli i rozpocząć jakąś dyskusję na jej temat.;-0.2
Chociaż jestem za eutanazją, uważam, że jej legalizacja powinna być bardzo ściśle kontrolowana.;-0.4
Eutanazja powinna być traktowana jako bardzo delikatna kwestia, którą należy rozważać tylko w ekstremalnych przypadkach.;-0.5
Eutanazja to rozwiązanie, które powinniśmy traktować bardzo ostrożnie i tylko w wyjątkowych sytuacjach.;-0.6
Jeśli stan zdrowia pacjenta jest nieuleczalny i nie ma szans na poprawę, eutanazja powinna być rozważana jako opcja.;-0.6
Eutanazja w przypadku cierpienia pacjenta powinna być rozważana jako ostateczność, a nie normą.;-0.6
Eutanazja powinna być dostępna tylko w bardzo rzadkich przypadkach, np. w przypadku nieuleczalnej choroby.;-0.7
W przypadku nieuleczalnych chorób eutanazja powinna być legalna, ale tylko po dokładnej ocenie medycznej.;-0.7
Eutanazja w przypadku terminalnych chorób to decyzja, która powinna być uznawana za humanitarną i zrozumiałą.;-0.7
Eutanazja powinna być dostępna, ale tylko wtedy, gdy osoba posiada pełną świadomość i jest w stanie podejmować decyzje.;-0.7
Eutanazja powinna być legalna, ale wyłącznie po konsultacji z lekarzem i rodziną pacjenta.;-0.8
Eutanazja to ostateczne rozwiązanie, które należy dopuścić tylko w sytuacjach skrajnych.;-0.8
Eutanazja powinna być legalna, ale tylko w przypadku osób, które świadomie podjęły decyzję i są w terminalnym stadium choroby.;-0.8
Popieram eutanazję dla osób ciężko chorych.;-0.8
Jeśli cierpienie staje się nie do zniesienia, eutanazja powinna być dostępna jako prawo wyboru.;-0.9
Popieram eutanazję ponieważ cywilizowany świat już dawno udostępnił ludziom eutanazję. Zachód Europy jest nowoczesny i pozwala obywatelom na świadome zakończenie życia.;-0.9
Eutanazja powinna być legalna, ponieważ to prawo każdego człowieka, by decydować o swojej śmierci.;-1
Każdy człowiek powinien mieć prawo do zakończenia swojego życia, jeśli cierpi i nie widzi szans na poprawę.;-1
Eutanazja to godność ludzka, pozwalająca zakończyć cierpienie nieuleczalnie chorych osób.;-1
Eutanazja daje ludziom możliwość wyboru, kiedy ich życie staje się nie do zniesienia.;-1
Jeśli osoba jest w stanie decydować, nie ma powodu, by zabraniać jej prawa do eutanazji.;-1
Każdy człowiek ma prawo decydować, kiedy chce zakończyć swoje życie, nawet jeśli jest to związane z cierpieniem.;-1
Eutanazja powinna być dostępna dla wszystkich, którzy doświadczają nieuleczalnego cierpienia, niezależnie od przyczyn.;-1
Nie możemy zabraniać osobom cierpiącym na decydowanie o zakończeniu swojego życia, jeśli ich stan jest nieuleczalny.;-1
Ludzie powinni mieć prawo zakończyć swoje życie, jeśli chcą uniknąć niekończącego się cierpienia.;-1
Eutanazja to świetne rozwiązanie które powinno być dostępne bez żadnych restrykcji i zależne od woli osoby.;-1
Kto chce dokonać eutanazji ten powinien mieć taką możliwość.;-1
