statement;score
Kara śmierci to sprawiedliwa odpłata za najcięższe zbrodnie.;1
Jeśli ktoś odebrał życie, powinien ponieść taką samą karę.;1
Kara śmierci to jedyny sposób, aby chronić społeczeństwo przed najgroźniejszymi przestępcami.;1
Popieram karę śmierci bo nie uważam aby niektórzy ludzie byli zdolni do poprawy.;1
Nie wyobrażam sobie, aby pedofile, gwałciciele i masowi mordercy mogli wygodnie żyć na koszt podatnika w więzieniu. Powinni umrzeć.;1
Niektórzy ludzie po prostu zasługują na śmierć za to co zrobili.;1
Osoby winne brutalnych morderstw nie zasługują na życie.;0.9
Zgadzam się z wprowadzeniem kary śmierci ponieważ jest to najlepsze rozwiązanie za najcięższe przestępstwa.;0.9
Ludzie którzy popełnili ciężkie zbrodnie nie zasługują na to by żyć i powinni zostać poddani karze śmierci w imie dobra społeczeństwa.;0.9
Kara śmierci to sprawiedliwość dla rodzin ofiar brutalnych przestępstw.;0.8
Nie popieram resocjalizacji dla ludzi, którzy popełnili najgorsze zbrodnie.;0.8
Kara śmierci jest potrzebna, aby pokazać, że najcięższe zbrodnie nie pozostaną bez konsekwencji.;0.8
Kara śmierci jest potrzebna, aby chronić społeczeństwo przed najgroźniejszymi przestępcami.;0.8
Kara śmierci to inaczej pozbycie się niebezpiecznej jednostki ze społeczeństwa.;0.8
Utrzymywanie i płacenie za więźniów którzy popełnili ciężkie przestępstwa jest bez sensu, a kara śmierci jest tu najlepszym rozwiązaniem.;0.7
Niektóre zbrodnie są tak okrutne, że sprawcy zasługują na najwyższy wymiar kary.;0.7
Najgorsi przestępcy nie zasługują na możliwość powrotu do społeczeństwa.;0.7
Kara śmierci mogłaby działać odstraszająco, gdyby była stosowana szybciej i skuteczniej.;0.4
W pewnych sytuacjach kara śmierci jest jedyną możliwą karą, aby ukarać zbrodniarza.;0.4
Nie można odrzucić kary śmierci, jeśli chodzi o osoby zagrażające bezpieczeństwu narodowemu.;0.4
Kara śmierci może odstraszać potencjalnych przestępców, ale jest to narzędzie skrajne.;0.4
Kara śmierci to ostateczność, która powinna dotyczyć tylko sprawców zabójstw, gwałtów i przestępstw pedofilskich.;0.4
Tylko sprawcy morderstw, gwałtów i przestępstw seksualnych wobec dzieci powinni podlegać karze śmierci.;0.4
Kara śmierci powinna być stosowana wyłącznie w przypadku najcięższych zbrodni, takich jak morderstwo, gwałt i pedofilia.;0.4
Zgadzam się z karą śmierci, ale tylko w przypadku najcięższych przestępstw, takich jak morderstwo, pedofilia czy gwałt.;0.4
Kara śmierci powinna być zarezerwowana dla przestępstw takich jak morderstwo dzieci czy masowe zbrodnie.;0.3
Nie popieram kary śmierci, ale czasami wydaje się jedynym rozwiązaniem w przypadku masowych morderców.;0.3
Kara śmierci może być sprawiedliwa, jeśli dotyczy masowych zbrodniarzy.;0.3
Nie jestem za karą śmierci, ale w przypadku zbrodni wojennych mogę zrozumieć jej stosowanie.;0.3
Kara śmierci powinna być zarezerwowana dla przypadków morderstwa, gwałtu oraz pedofilii.;0.3
Kara śmierci powinna być wykonywana rzadko i za najcięższe przestępstwa, ma budzić strach i zniechęcać do popełniania zbrodni.;0.3
Nie jestem zwolennikiem kary śmierci, ale czasem wydaje się jedynym sprawiedliwym rozwiązaniem.;0.2
W przypadku zbrodni takich jak ludobójstwo, kara śmierci powinna być opcją.;0.2
Kara śmierci powinna być opcją tylko w przypadku, gdy nie ma możliwości innego ukarania sprawcy.;0.2
Kara śmierci powinna być stosowana tylko w przypadku, gdy inne kary nie są wystarczająco odstraszające.;0.2
Nie popieram kary śmierci, ale w przypadku seryjnych morderców mogę zrozumieć jej zastosowanie.;0.1
W przypadku najcięższych przestępstw, takich jak seryjne morderstwa, kara śmierci może być uzasadniona.;0
