statement;score
Polska powinna jak najszybciej opuścić UE. To biurokratyczna maszyna niszcząca suwerenność narodów.;1
UE to projekt, który stał się bardziej ideologiczny niż ekonomiczny. Polska powinna odzyskać pełną niezależność.;1
Bruksela narzuca nam swoje wartości, niszczy naszą kulturę i gospodarkę. Nie potrzebujemy ich dyktatu.;1
Czas najwyższy poważnie rozważyć opcję wyjścia z Unii Europejskiej.;1
Unia Europejska to już nie jest ta sama organizacja, do której wchodziliśmy w 2004 roku. Teraz to coraz bardziej centralistyczny moloch, który odbiera państwom suwerenność. Polska powinna jak najszybciej przygotować się do wyjścia i odzyskać pełną kontrolę nad swoim państwem;1
Unia narzuca nam swoje ideologie, ogranicza naszą wolność i zmusza do przyjmowania decyzji, które nie są w naszym interesie.;0.9
Unia miała być wspólnotą współpracujących państw, a nie superpaństwem! Polska nie może zgodzić się na utratę prawa do samostanowienia. Bycie w UE to jedno, ale zgoda na federalizację to całkowicie inna kwestia.;0.9
Europejska Wspólnota Węgla i Stali miała ograniczony zakres i działała w interesie gospodarki. Dzisiejsza UE poszła za daleko – regulacje, naciski polityczne, biurokracja. Nie tak miało to wyglądać.;0.9
Europejska Wspólnota Węgla i Stali o był świetny pomysł, ale dzisiejsza Unia to coś zupełnie innego. Z gospodarczej współpracy przekształciła się w polityczny moloch.;0.9
UE traktuje nas jak obywateli drugiej kategorii. Czas przestać godzić się na bycie tanią siłą roboczą Europy.;0.8
Unia zmusza nas do przyjmowania obcych wartości i regulacji, które niszczą nasze rolnictwo i przemysł.;0.8
E narzuca nam swoją wolę i ogranicza naszą suwerenność. To nie jest partnerstwo.;0.8
UE nie radzi sobie z kryzysami, a jej decyzje są często spóźnione i nieskuteczne.;0.8
UE to narzędzie w rękach silniejszych państw, które wykorzystują słabszych.;0.8
Nasza polityka powinna być oparta na naszych wartościach, a nie na dyktacie z Brukseli.;0.8
Spójrzmy na Wielką Brytanię – wyjście z UE było trudne, ale dzięki temu mają teraz większą niezależność. My też powinniśmy dążyć do tego, żeby uniezależnić się od Brukseli.;0.8
Unia Europejska mówi nam, co mamy robić i ogranicza naszą niezależność. To tak, jakby ktoś inny rządził naszym krajem.;0.8
